Master_Stop_Code,Stop_Name,District,Tehsil,Tehsil_Code,Sector_ID,Stop_No,Latitude,Longitude,N_Endpoints
AN-01-01,Anantnag,Anantnag,Anantnag,AN,1,1,33.74535,75.18608,2
AN-01-02,Mawan,Anantnag,Anantnag,AN,1,2,33.73022,75.14856,9
AN-03-01,Qazigund,Anantnag,Dooru tehsil,AN,3,1,33.58883,75.15821,1
AN-05-01,Phalgam,Anantnag,Pahalgam,AN,5,1,34.01555,75.32712,1
AN-06-01,Shangus,Anantnag,Shangus tehsil,AN,6,1,33.74494,75.34668,1
AN-06-02,Uttersoo,Anantnag,Shangus tehsil,AN,6,2,33.70768,75.30215,1
BG-01-01,Airport,Budgam,Badgam tehsil,BG,1,1,33.99379,74.7747,1
BG-01-02,Beeru,Budgam,Badgam tehsil,BG,1,2,34.0142,74.7187,10
BG-01-03,Nasrullah Pora,Budgam,Badgam tehsil,BG,1,3,34.04402,74.73198,1
BG-02-01,Agri Kalan Kanihama,Budgam,Beerwah Tehsil,BG,2,1,34.10003,74.64658,1
BG-02-02,Badrun,Budgam,Beerwah Tehsil,BG,2,2,34.03422,74.54567,1
BG-02-03,Budgam,Budgam,Beerwah Tehsil,BG,2,3,34.0179,74.7139,1
BG-02-04,Chewdara,Budgam,Beerwah Tehsil,BG,2,4,34.02676,74.60552,1
BG-02-05,Isganderpora,Budgam,Beerwah Tehsil,BG,2,5,34.02554,74.56765,1
BG-02-06,Khag,Budgam,Beerwah Tehsil,BG,2,6,33.99921,74.52975,1
BG-02-07,Mirpora Budgam,Budgam,Beerwah Tehsil,BG,2,7,34.04127,74.62045,1
BG-02-08,Narbal,Budgam,Beerwah Tehsil,BG,2,8,34.0904,74.65825,1
BG-02-09,Narwara Budgam,Budgam,Beerwah Tehsil,BG,2,9,34.03734,74.62426,1
BG-02-10,Ratsun,Budgam,Beerwah Tehsil,BG,2,10,34.05887,74.5944,1
BG-02-11,Shanglipora,Budgam,Beerwah Tehsil,BG,2,11,33.97165,74.53084,1
BG-03-01,Chadora,Budgam,Chadoora tehsil,BG,3,1,33.94347,74.79875,2
BG-03-02,Charesharief,Budgam,Chadoora tehsil,BG,3,2,33.88159,74.73756,1
BG-04-01,Charishreef,Budgam,Charar-E-Shrief,BG,4,1,33.86239,74.76968,1
BG-04-02,Loolpora,Budgam,Charar-E-Shrief,BG,4,2,33.85654,74.68949,1
BG-04-03,Pakherpora,Budgam,Charar-E-Shrief,BG,4,3,33.81519,74.76418,1
BG-06-01,Arizal,Budgam,Khansahib Tehsil,BG,6,1,33.85029,74.56456,1
BG-06-02,Dc Office Budgam,Budgam,Khansahib Tehsil,BG,6,2,33.99056,74.71254,1
BP-01-01,Arin,Bandipore,Bandipora,BP,1,1,34.41793,74.64294,3
BP-01-02,Bandipora,Bandipore,Bandipora,BP,1,2,34.42307,74.63596,1
BP-01-03,Safapora,Bandipore,Bandipora,BP,1,3,34.37689,74.7181,1
BP-03-01,Hajin,Bandipore,Sonawari,BP,3,1,34.28719,74.62079,1
BP-03-02,Vijipopra,Bandipore,Sonawari,BP,3,2,34.27866,74.61707,1
BR-01-01,Baramula,Baramulla,Baramulla,BR,1,1,34.20873,74.34259,2
BR-01-02,Ijara,Baramulla,Baramulla,BR,1,2,34.1981,74.36465,7
BR-02-01,Kamalkote,Baramulla,Boniyar,BR,2,1,34.08555,74.04541,1
BR-02-02,URI,Baramulla,Boniyar,BR,2,2,34.14508,74.18385,2
BR-04-01,Palhalan,Baramulla,Pattan,BR,4,1,34.18312,74.54375,1
BR-05-01,Zaloora,Baramulla,Rafiabad,BR,5,1,34.38033,74.37492,1
BR-06-01,Botingue,Baramulla,Sopore,BR,6,1,34.37177,74.48927,1
BR-06-02,Sopore,Baramulla,Sopore,BR,6,2,34.28703,74.46268,1
BR-07-01,Aboora,Baramulla,Tangmarg,BR,7,1,34.05692,74.53683,1
BR-07-02,Baderkote,Baramulla,Tangmarg,BR,7,2,34.04183,74.45901,1
BR-07-03,Karhama,Baramulla,Tangmarg,BR,7,3,34.06194,74.51838,1
BR-07-04,Tangmarg,Baramulla,Tangmarg,BR,7,4,34.05825,74.42274,1
GB-01-01,Beehama Ganderbal,Ganderbal,Ganderbal,GB,1,1,34.23874,74.80199,1
GB-01-02,Gadoora,Ganderbal,Ganderbal,GB,1,2,34.17601,74.78149,1
GB-01-03,Ganderbal,Ganderbal,Ganderbal,GB,1,3,34.19275,74.76975,1
GB-02-01,Gund,Ganderbal,Kangan,GB,2,1,34.2579,75.08868,1
GB-02-02,Kangan,Ganderbal,Kangan,GB,2,2,34.23988,74.97562,1
GB-02-03,Manigam,Ganderbal,Kangan,GB,2,3,34.2816,74.7996,1
GB-03-01,Central University Ganderbal,Ganderbal,Lar,GB,3,1,34.27256,74.8244,1
GB-03-02,Safapora GBL,Ganderbal,Lar,GB,3,2,34.26398,74.67695,1
GB-03-03,Safapora Sumbal,Ganderbal,Lar,GB,3,3,34.2549,74.66405,1
GB-03-04,Sumbal,Ganderbal,Lar,GB,3,4,34.26425,74.65946,1
