Master_Stop_Code,Stop_Name,Sector_ID,Latitude,Longitude,Stop_No,Tehsil_Code
SGR-01-01,ANANTNAGH,1,33.7297937,75.1503303,1,AN
SGR-01-02,BATPORA,1,33.831584,75.246399,2,AN
SGR-01-03,CHAKIL PORA- SGR,1,33.7953411,75.3672784,3,AN
SGR-01-04,GAGULDARA,1,33.84723,75.34766,4,AN
SGR-01-05,HAFTNAR,1,33.83123,75.34074,5,AN
SGR-01-06,KAPRIN,1,33.4526796,75.3682051,6,AN
SGR-01-07,KHERUM- ANANTNAGH,1,33.7297937,75.1503303,7,AN
SGR-01-08,KISHTIWAR,1,33.311199,75.769699,8,AN
SGR-10-62,LALCHOWK,10,34.0746,74.8204,62,SR
SGR-01-10,LAMMER- ANANTNAGH,1,33.7297937,75.1503303,10,AN
SGR-01-11,PHALGAM- ANANTNAGH,1,34.0314533,75.3210437,11,AN
SGR-01-12,QAZIGUND,1,33.6255,75.144096,12,AN
SGR-01-13,RAILWAY STATION,1,33.67652108,75.13652946,13,AN
SGR-01-14,SHEIKHPORA KAKUTHAL,1,33.716223,75.339751,14,AN
SGR-02-01,ABOORA,2,34.05651,74.53336,1,BG
SGR-02-02,ARIZAL,2,33.837106,74.484651,2,BG
SGR-02-03,BADRUN,2,34.033979,74.548886,3,BG
SGR-02-04,BUDGAM,2,33.934407,74.640117,4,BG
SGR-02-05,CHADOORA,2,33.9455847,74.7992358,5,BG
SGR-02-06,CHADORA,2,33.9455847,74.7992358,6,BG
SGR-02-07,CHARISHREEF,2,33.8620251,74.7697704,7,BG
SGR-02-08,CHEWDARA,2,34.01952,74.591197,8,BG
SGR-02-09,DARDPORA,2,34.0054385,74.7073935,9,BG
SGR-02-10,GUND,2,34.05809,74.67273,10,BG
SGR-02-11,ISGANDERPORA,2,34.0258,74.56759,11,BG
SGR-02-12,KARHAMA,2,33.979652,74.70822,12,BG
SGR-02-13,KHAG,2,34.019311,74.4937624,13,BG
SGR-02-14,KHUMANI CHOWK,2,34.054616,74.746436,14,BG
SGR-02-15,LOOLPORA,2,33.857827,74.688348,15,BG
SGR-02-16,MIRPORA BUDGAM,2,34.023902,74.610983,16,BG
