S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
1,ANANTNAG ARTO,JK030707,21-Feb-97,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1996-1997,1998-1999,DIESEL,C PASSENGERS
2,ANANTNAG ARTO,JK030808,09-Apr-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,15-Jun-15,15-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1998-1999,DIESEL,C PASSENGERS
3,ANANTNAG ARTO,JK030843,01-Dec-97,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1998-1999,DIESEL,C PASSENGERS
4,ANANTNAG ARTO,JK031071,30-Jun-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-98,16-Jun-19,15-Jun-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1998-1999,DIESEL,C PASSENGERS
5,ANANTNAG ARTO,JK031127,30-Jun-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-00,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,2000-2001,DIESEL,C PASSENGERS
6,ANANTNAG ARTO,JK031159,07-Jul-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-99,16-Jun-19,15-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1997-1998,1999-2000,DIESEL,C PASSENGERS
7,ANANTNAG ARTO,JK031533,13-Mar-98,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-00,15-Jun-16,15-Jun-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,1997-1998,2000-2001,DIESEL,CARRYING PASSANGER
8,ANANTNAG ARTO,JK031909,27-Jul-98,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),17-Aug-98,17-Aug-23,16-Aug-28,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1998-1999,DIESEL,NON HAZARDOUS::OTHER::ONLY
9,ANANTNAG ARTO,JK031992,19-Aug-98,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),03-Nov-98,02-Nov-19,02-Nov-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1998-1999,DIESEL,C PASSENGERS
10,ANANTNAG ARTO,JK032353,19-Jan-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),02-Jun-99,01-Jun-16,01-Jun-19,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1999-2000,DIESEL,C PASSENGERS
11,ANANTNAG ARTO,JK032463,23-Feb-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,25-Sep-20,24-Sep-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1998-1999,1999-2000,DIESEL,CARRYING PASSANGER
12,ANANTNAG ARTO,JK032530,02-Apr-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Apr-00,19-Apr-19,19-Apr-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,2000-2001,DIESEL,CARRYING PASSANGER
13,ANANTNAG ARTO,JK032563,22-Apr-99,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jun-03,07-Jun-18,07-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1999-2000,2003-2004,DIESEL,C PASSENGERS
14,ANANTNAG ARTO,JK032568,22-Nov-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),26-Jun-01,26-Jun-21,25-Jun-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
15,ANANTNAG ARTO,JK032928,05-Sep-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,24-Sep-19,24-Sep-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,CARRYING PASSENGERS
16,ANANTNAG ARTO,JK032970,12-Aug-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,24-Sep-19,24-Sep-21,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,CARRYING PASSANGER
17,ANANTNAG ARTO,JK033011,16-Jun-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,25-Sep-20,24-Sep-23,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,
18,ANANTNAG ARTO,JK033078,06-Sep-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Sep-99,24-Sep-17,24-Sep-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,CARRYING PASSANGER
19,ANANTNAG ARTO,JK033311,30-Nov-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),30-Jan-00,30-Jan-20,30-Jan-21,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,C PASSENGERS
20,ANANTNAG ARTO,JK033314,20-Nov-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),31-Jan-01,31-Jan-23,30-Jan-28,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,1999-2000,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
21,ANANTNAG ARTO,JK033365,08-Dec-99,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Dec-99,30-Dec-22,29-Dec-27,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,NON HAZARDOUS::OTHER::ONLY
22,ANANTNAG ARTO,JK033562,01-Mar-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Mar-00,09-Mar-21,08-Mar-24,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,1999-2000,1999-2000,DIESEL,
23,ANANTNAG ARTO,JK033864,15-May-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),27-Jun-03,26-Jun-17,26-Jun-19,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2003-2004,DIESEL,C PASSANGER
24,ANANTNAG ARTO,JK033873,15-May-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),26-Jun-00,26-Jun-19,26-Jun-20,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGER
25,ANANTNAG ARTO,JK033877,18-May-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),27-Jun-00,27-Jun-22,26-Jun-27,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
26,ANANTNAG ARTO,JK033930,28-May-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jun-05,15-Jun-19,15-Jun-20,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2005-2006,DIESEL,CARRYING PASSENGERS
27,ANANTNAG ARTO,JK034024,15-Jun-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Jun-00,26-Jun-18,26-Jun-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGERS
28,ANANTNAG ARTO,JK034165,17-Jul-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Apr-01,20-Apr-20,19-Apr-23,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,
29,ANANTNAG ARTO,JK034218,29-Jul-00,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-00,15-Dec-20,14-Dec-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGER
30,ANANTNAG ARTO,JK034225,27-Jul-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-00,15-Dec-20,14-Dec-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSANGER
31,ANANTNAG ARTO,JK034228,27-Jul-00,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Apr-00,20-Apr-20,19-Apr-25,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
32,ANANTNAG ARTO,JK034377,09-Sep-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),22-May-04,21-May-20,21-May-22,EASTERN  AREA OF KMR PROV,NA,,,NA,Ordinary Service,2000-2001,2004-2005,DIESEL,CARRYING PASSENGERS
33,ANANTNAG ARTO,JK034590,21-Dec-00,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Mar-00,16-Mar-20,16-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,1999-2000,DIESEL,C PASSANGER
34,ANANTNAG ARTO,JK034595,30-Sep-00,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-May-01,16-May-19,15-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,C PASSENGERS
35,ANANTNAG ARTO,JK034597,21-Dec-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Feb-00,27-Feb-20,27-Feb-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Rural Service,2000-2001,1999-2000,DIESEL,C PASSANGER
36,ANANTNAG ARTO,JK034598,20-Dec-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Jan-01,31-Jan-20,31-Jan-22,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,CARRYING PASSENGERS
37,ANANTNAG ARTO,JK034719,16-Aug-00,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-01,18-May-19,17-May-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2001-2002,DIESEL,C PASSANGERS
38,ANANTNAG ARTO,JK034750,06-Feb-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Mar-01,09-Mar-20,09-Mar-21,WITH IN 25 KMS OF DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSENGER
39,ANANTNAG ARTO,JK034752,16-Jan-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Mar-01,10-Mar-20,09-Mar-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,C PASSENGERS
