office name,,,Vehicle Category,,,,,,,,,,from,to,via
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HARWAN,
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,HAZRATBAL,
SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,
SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,
SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,
SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,
SRINAGAR RTO,,,EBus,,,,,,,,,,LD,PANDACH,
SRINAGAR RTO,,,EBus,,,,,,,,,,PANTHACHOWK,NARBAL,QAMARWARI
SRINAGAR RTO,,,EBus,,,,,,,,,,PANTHACHOWK,NARBAL,QAMARWARI
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR
SRINAGAR RTO,,,EBus,,,,,,,,,,PARIMPORA,HAZRATBAL,SAKIDAFAR
SRINAGAR RTO,,,EBus,,,,,,,,,,TRC,TRC,NAWABAZAR
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK
SRINAGAR RTO,,,EBus,,,,,,,,,,BATAMALLO,RANGRETH,IQBAL PARK
SRINAGAR RTO,,,EBus,,,,,,,,,,TRC,BATPORA,NIGEEN
SRINAGAR RTO,,,EBus,,,,,,,,,,TRC,BATPORA,NIGEEN
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Shanglipora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Isganderpora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Aboora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Arizal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Baderkote,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Loolpora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Beeru,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Dardpora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Gaguldara,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Ratnipora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Ratsun,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Khag,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Karhama,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Chewdara,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Badrun,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tangmarg,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Khoor,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Handwara,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Sheikhpora Kakuthal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Trehgam Kup,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Chowkibal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Milyaal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Zurhama,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tarthpora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Gazriyal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Hajin,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Safapora Sumbal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Safapora Gbl,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Narwara Budgam,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Charishreef,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Pakherpora,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tral Dadsur,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Pasthoon,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Naristan,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Pinglish,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tral Nowdal,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Qazigund,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Mirpora Budgam,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Vijipopra,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Kupwara Day,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Uri Baramulla ,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Tangdar,
MPS BUSES,,,MPS Bus,,,,,,,,,,Srinagar,Zachaldar,
B/O Bandipora,,,Regular Bus,,,,,,,,,,Bpr,Srinagar,
B/O Bandipora,,,Regular Bus,,,,,,,,,,Bpr,Srinagar,
B/O Bandipora,,,Regular Bus,,,,,,,,,,Bpr,Srinagar,
B/O Bandipora,,,Regular Bus,,,,,,,,,,Srinagar,Bandipora-Soura,
B/O Bandipora,,,Regular Bus,,,,,,,,,,Srinagar,BanKoot-Sgr,BPR
B/O Bandipora,,,Regular Bus,,,,,,,,,,Srinagar,Arin- Srinagar,
B/O Bandipora,,,Regular Bus,,,,,,,,,,Malangam,Srinagar,
B/O Bandipora,,,Regular Bus,,,,,,,,,,BPR,Baramulla,
Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Sopore-Srinagar,
Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Sopore-Srinagar,
Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Zaloora-Sgr,
Sopore Depot,,,Regular Bus,,,,,,,,,,Srinagar,Botingue- Sgr,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Srinagar,Baramulla-Srinagar,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Srinagar,Uri- Srinagar,
Baramulla Depot,,,Regular Bus,,,,,,,,,,KamalKote,Baramulla,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Garkote,Baramulla,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Nambia,Baramulla,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Fathgath,Sgr,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Pehilpora,Uri,BLA
Baramulla Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kachoo- Baramulla,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Maidanan,Srinagar,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Ijara,Srinagar,
Baramulla Depot,,,Regular Bus,,,,,,,,,,Baramula,Kupwra,
Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kupwara- Srinagar,
Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Sogam- Srinagar,
Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kupwara-tarthpora- Sgr,
Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kupwara-Srinagar,
Kupwara Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kapwara-Tekipora-,
B/O Shopian,,,Regular Bus,,,,,,,,,,Shopian,Srinagar,
B/O Shopian,,,Regular Bus,,,,,,,,,,Sedow,Srinagar,
B/O Shopian,,,Regular Bus,,,,,,,,,,Harman,Srinagar,
B/O Shopian,,,Regular Bus,,,,,,,,,,Kaprin,Srinagar,
B/O Shopian,,,Regular Bus,,,,,,,,,,Nehama,Srinagar,
B/O Kulgam,,,Regular Bus,,,,,,,,,,Khull Ahmadabad,Sgr,
B/O Kulgam,,,Regular Bus,,,,,,,,,,D.H.Pora,Srinagar,
B/O Kulgam,,,Regular Bus,,,,,,,,,,Pariwan,Srinagar,
B/O Kulgam,,,Regular Bus,,,,,,,,,,Srinagar,Kulgam- Srinagar,
B/O Kulgam,,,Regular Bus,,,,,,,,,,Srinagar,Katrosoo-Srinagar,
B/O Kulgam,,,Regular Bus,,,,,,,,,,Srinagar,Yaripora-Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Pulwama,Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Pulwama- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Koil,Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Wasoora- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Lettar-Achan-Sgr,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Letter-Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Heff- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Keller-Shopian-Sgr,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Keller- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Keller- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Achguze- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Sangerwani- Srinagar,
B/O Pulwama,,,Regular Bus,,,,,,,,,,Srinagar,Pakherpora- Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Phalgam- Anantnagh,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Mawan- Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Devsur-Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Lammer- Anantnagh,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kaprun- Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Chowgund- Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Shangus- Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Uttersoo- Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Vailo,Srinagar,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Chakil pora- Sgr,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Haftnar,Anantnagh,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Kherum- Anantnagh,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Srinagar,Matigawran- Ang,
Anantnagh Depot,,,Regular Bus,,,,,,,,,,Anantnagh,Shopian,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,New Khanda,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,By pass,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Khrew,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Khrew,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Railway,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,GulaBagh,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Ratnipura,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Buchpora,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Budgam,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Gund,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Chadoora,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Railway,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bugam,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Chadoora,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Rasoo,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Harwan,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,HARWAN,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,New Khanda,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Khrew,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,pampore,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,GulaBagh,
Traffic Manager (City) JKRTC Srinagar,,,City Bus,,,,,,,,,,Srinagar,Bypass,
