"Route_Code","Route_Name","Eng_O","Eng_D","Eng_KM","Eng_Cycle_Min","Eng_Headway","Eng_Fleet","Eng_Type","Eng_Load","Real_RoadKM","Real_OneWay_Time","Real_Service","Coord_Check","KM_Delta_Pct","Time_Check","Verdict","Finding","Sources"
"ANSP01010106","Anantnagh to Shopian","33.74535,75.186081","33.719229,74.833266","43.843","131.5","35","5","Regional_District","1.535","34-40","~45-60 min","SUMO + JKRTC/private bus run this S-Kashmir corridor daily","Coords good (Anantnag & Shopian towns correct)","18","One-way ~66 min plausible for mountain-edge road","REVIEW","Real driving distance is ~34 km direct (distancebetween2) up to ~40 km via Zainapora; engine 43.8 km is ~18% high. Recommend trimming Route_KM toward ~37-40 km.","distancebetween2.com, distancesfrom.com, jksrtc.co.in"
"ANSR01020139","Anantnagh to Srinagar","33.74535,75.186081","34.07457,74.820502","59.305","177.9","50","5","Regional_District","0.112","53-59","~75-90 min","Heavy NH-44 service: JKRTC + private buses + SUMO frequent","Coords good (Anantnag town & Srinagar centre)","6","One-way ~89 min reasonable for NH-44","PASS","On NH-44; Wikipedia/yatra give 53-59 km. Engine 59.3 km within band. Headway 50-min framing acceptable for a corridor that in reality runs far more frequently.","en.wikipedia.org/wiki/Anantnag, yatra.com, clearcarrental.com"
"BPBR01010201","Bandipora to Baramulla","34.423075,74.63596","34.208735,74.342587","45.97","137.9","35","5","Regional_District","1.962","36-47","~60-75 min","Bandipora-Sopore-Baramulla road; private/SUMO service runs","Coords good (Bandipora & Baramulla towns)","5","One-way ~69 min reasonable","PASS","Sources range 36-47 km (via Sopore); engine 46.0 km at upper end but within tolerance. Load 1.96 (overloaded) suggests fleet may be light for demand.","distancesfrom.com, alldistancebetween.com, geoiq.io"
"BPSR01010209","Bandipora to Soura","34.423075,74.63596","34.137704,74.802102","51.094","153.3","35","6","Regional_District","1.277","48-55","~70-80 min","Bandipora-Ganderbal-Srinagar(Soura) corridor served by bus/SUMO","Coords good (Soura is N-Srinagar suburb ~5 km before centre)","-2","One-way ~77 min reasonable","PASS","Soura is ~5 km north of Srinagar centre, so ~48-55 km via Ganderbal; engine 51.1 km is on target.","distancebetween2.com, distancesfrom.com"
"BPSR01020239","Bandipora to Srinagar","34.423075,74.63596","34.07457,74.820502","58.597","175.8","50","5","Regional_District","0.077","52-67","~75-90 min","JKRTC + private buses via Ganderbal","Coords good (Bandipora town & Srinagar centre)","3","One-way ~88 min reasonable","PASS","Sources span 52-67 km (Ganderbal route ~52-57); engine 58.6 km within band. Very low load (0.077) but lifeline framing.","distancebetween2.com, distancesfrom.com, kashmirtravelguide.in"
"BPSR01020139","Bankoot to Srinagar via Bandipora","34.41793,74.642941","34.07457,74.820502","60.768","182.3","50","5","Regional_District","0.082","60-67","~80-95 min","Feeder from Bana Koot village into Bandipora then Srinagar corridor","Coords good (Bana Koot ~7 km from Bandipora, real village)","-3","One-way ~91 min reasonable","PASS","Bana Koot is a real village ~7 km from Bandipora town; Bandipora-Srinagar ~57 km plus the village leg gives ~60-67 km, matching engine 60.8 km.","villageinfo.in, distancebetween2.com"
"BRKW01030104","Baramula to Kupwra","34.208735,74.342587","34.52614,74.254895","46.645","139.9","35","5","Regional_District","1.026","47-49","~50-60 min","Baramulla-Kupwara road; frequent SUMO + bus","Coords good (Baramulla & Kupwara towns)","-3","One-way ~70 min slightly long but OK","PASS","yatra/distancebetween2 give 47-49 km; engine 46.6 km on target. Load ~1.0 (full) reasonable for this busy N-Kashmir corridor.","yatra.com, distancebetween2.com, kupwara.nic.in"
"BRSR01020139","Baramulla to Srinagar","34.208735,74.342587","34.07457,74.820502","56.316","168.9","50","5","Regional_District","0.073","54","~55-75 min","Srinagar-Baramulla highway: very heavy JKRTC + train + private service","Coords good (Baramulla & Srinagar centre)","4","One-way ~84 min a bit long vs 55 min Wikipedia","PASS","Wikipedia Srinagar-Baramulla highway = 54 km; engine 56.3 km within tolerance. Real service far more frequent than 50-min headway.","en.wikipedia.org/wiki/Srinagar-Baramulla_highway, yatra.com"
"SRPW02040501","Batamaloo to Dadsara Tral via Awantipora","34.068715,74.779627","33.930235,75.109996","43.869","131.6","15","11","Regional_District","0.36","42-46","~60-75 min","SSCL/CHALO e-bus backbone trunk (15-min) + JKRTC to Tral","Coords good (Batamaloo W-Srinagar; Dadsara is a Tral village)","0","One-way ~66 min reasonable","PASS","Srinagar-Awantipora ~33 km + Awantipora-Tral ~7-8 km; Dadsara is a Tral-area village, total ~42-46 km matches engine 43.9 km. SSCL trunk, 15-min headway legit.","distancesfrom.com, distancebetween2.com (Srinagar-Tral), en.wikipedia.org/wiki/Tral"
"SRGB02020502","Batamaloo to Kangan via Hazratbal Manigam","34.068715,74.779627","34.239881,74.975622","55.703","167.1","15","14","Regional_District","0.404","50-56","~70-85 min","SSCL/CHALO e-bus designed loop via Hazratbal-Manigam to Kangan","Coords good (Batamaloo & Kangan, Ganderbal)","4","One-way ~84 min plausible for the via-Hazratbal alignment","PASS","Direct Srinagar-Kangan ~38-42 km, but this is a designed SSCL loop via Hazratbal/Manigam so ~50-56 km is correct; engine 55.7 km consistent with the named routing.","distancebetween2.com, distancesfrom.com (Srinagar-Kangan / Hazratbal-Kangan)"
