PROPSED ROUTE NO,PROPOSED ROUTE NAME,New Deployement,9 Meter,12 Meter
1,Parimpora to Harwan via Brein Nishat,7,7,0
2,"Batamaloo To Nasrullah Pora via Jehangir Chowk ,Rambagh, Hyderpora",5,5,0
3,Batmaloo To Hazratbal via Khanyar,6,6,0
4,Batamaloo to Chadoora Chowk via Jehangir Chowk,3,3,0
5,"LD To Pandach via Jehangir Chowk,Dalgate,Khanyar",4,4,0
6,"Pantha Chowk To Narbal Crossing via Sonwar,JehangirChowk,Qamarwari",2,0,2
7,Batamaloo to Drussu Pulwama via Marwal,4,0,2
,,,0,2
8,Batmaloo to Budgam Railway station via Khumeni Chowk,4,4,0
9,"Parimpora To Naseem Bagh via Noorbagh,Gojwara,Mill Stop",4,4,0
10,Pantha Chowk to Agri Kalan Kanihama via Bypass,5,0,5
11,Old City Route,1,1,0
12,"Rangreth To District Court via Barzulla,Jehangir Chowk",3,3,0
13,"Batmaloo to Beehama Ganderbal via Hazratbal,zakura",4,3,0
,,,1,0
14,"TRC to Central University Ganderbal via Karan Nagar,Zoonimar,90ft Road",6,5,0
,,,1,0
15,TRC to Pulwama via Nowgam Kaanipora,4,2,0
,,,2,0
16,BATAMALOO CIRCULAR VIA KHONMOH,2,2,0
17,Batamaloo to Womens College Batpora via Rainawari,2,2,0
18,JKPDC Jehangir Chowk to Wadwan,2,2,0
19,PANTHACHOWK TO SUMBAL,4,0,4
,,,0,0
20,PANTHACHOWK TO SAFAPORA,2,0,2
21,Batamaloo to Arath,2,2,0
22,Batmaloo To Khrew Bus Stand,4,4,0
23,Batmaloo to Chare-sharief via Chadoora,2,0,0
,,,2,0
24,Pantha Chowk to Palhalan or (can be extended till Sangrama or Sopore),6,0,6
25,Batamaloo to Dadsara Tral Via Awantipora,2,2,0
26,"Batamaloo To Kangan via Hazratbal,Manigam",2,2,0
27,Batamaloo to Manigam,2,2,0
28,Batamaloo to Pinglena via Galandar Pampore,2,0,2
29,Panthachowk to Panzinara,1,1,0
30,Batamaloo to dc office Budgam,1,1,0
TOTAL,,98,73,25
