"Route_Code","Route_Name","Eng_Type","Old_KM","New_KM","New_Cycle","Old_Fleet","New_Fleet","Confidence","Headway","Reason","Sources"
"SRBG02022903","Parimpora to Budgam","Peri_Urban","31.39","17.0","85.0","6","4","AUTO","35","Multiple sources converge on a 9-21km Srinagar/Parimpora-Budgam road distance (yatra.com 9-10km; citymeter.net/distancesfrom.com 13-21km), but the engine models this leg at 31.4km, well above that band; this looks like the engine routing a longer detour than the real shortest road path between these two points, the largest distance discrepancy found in this batch and worth an engineering check even though both endpoints individually are correctly placed.","yatra.com, citymeter.net, distancesfrom.com, mapsofindia.com"
"SRSR02012904","Parimpora to Hazratbal","Peri_Urban","16.1","10.5","52.5","4","3","AUTO","35","Corridor is real and even independently corroborated as an existing SSCL route ('Route 9 from Parimpora to Hazratbal' in a published 16-route list), but this specific engine row is marked CMP_Trunk=False despite SSCL apparently operating exactly this corridor, and the modelled 16.1km/80.5min cycle is on the high side versus the ~9-12km/15-18min one-way that direct-route sources suggest, even allowing for the lakeside detour.","kashmirlife.net, wikipedia.org"
"SRBG02032901","Parimpora to Chadora","Peri_Urban","25.75","18.0","90.0","5","4","AUTO","35","Corridor independently corroborated (sources confirm shared sumo/bus services run from Chadoora/Charar-e-Sharief to Srinagar's Parimpora, Batamaloo or Lal Chowk stands), and Srinagar-Chadoora is documented at 14km by some sources though up to 22km by others including the connector road; engine's 25.75km runs on the high side of this range (roughly 17-84% over depending on the reference figure used) - flagged for a routing recheck similar to the Budgam-bound routes above, though less severe.","alldistancebetween.com, distancesfrom.com, etourismkashmir.com"
"SRSR01020522","Lalbazar to LD","Urban","9.31","6.5","52.0","5","4","AUTO","20","KM_Delta is large in percentage terms but the absolute gap is only ~2-3 km, typical for very short urban routes; cycle time and headway look generous - worth re-checking origin pin for Lal Bazar","onefivenine.com, distancesfrom.com, wikipedia.org"
"SRGB01010903","Soura to Ganderbal","Urban","9.86","12.5","100.0","4","4","AUTO","35","Real driving distance for Soura/Srinagar to Ganderbal is commonly cited as 10-15 km depending on source and exact start point; modelled 9.86 km falls at the low end of that range, so it is plausible but on the short side. Treat as REVIEW for verification of the exact alignment used, not a hard error.","distancebetween2.com, onefivenine.com, ganderbal.nic.in"
"SRSR01010904","Soura to Hazratbal","Urban","8.34","6.0","48.0","3","3","AUTO","35","Real road distance per alldistancebetween.com is about 6 km (7 min driving) vs modelled 8.337 km, a 39% overstatement, and the one-way time of ~33 min is roughly 3x the real drive time even allowing for stops. The corridor and headway/fleet are sound; the KM and cycle-time figures look inflated.","alldistancebetween.com, onefivenine.com"
"SRSR01020422","Hazratbal to LD","Urban","9.29","6.5","52.0","4","3","AUTO","35","Distance premium (haversine 5.76 vs modelled 9.3 km, +61%) is higher than typical for a direct Hazratbal-LD hop; either an unstated via-detour exists or the route geometry needs rechecking. Corridor and both endpoints are real and served.","wikipedia.org (Hazratbal),onefivenine.com,kashmirlife.net"
"SRSR01020622","Malbagh to LD","Urban","11.43","9.0","72.0","6","5","AUTO","20","Real corridor and coordinates check out; modelled cycle time runs a bit long relative to the short distance - fleet of 6 for a 20 min headway, 0.165 load looks generous but not unreasonable for a hospital-bound route","onefivenine.com (Malabagh locality), srinagar.nic.in (LD Hospital)"
"SRSR02022018","Jehangir Chowk to JVC","Urban","7.72","4.5","36.0","3","3","AUTO","35","KM premium is high (+54% to +93% over haversine) for a sub-8 km urban route; while within the wider ±25% short-route tolerance band only at the low end of the range, this and the related JVC-to-Batwara route both show elevated circuity — worth a routing recheck.","mappls.com (JVC Hospital Bemina),justdial.com"
"SRBG02022003","Jehangir Chowk to Budgam","Regional_District","45.58","11.5","34.5","4","2","AUTO","50","Straight-line is only 16.7km but engine road=45.6km (circuity 2.73x); real Srinagar/Jehangir Chowk to Budgam is ~10-13km by road. Engine over-modeled the corridor ~4x - likely a routing detour artifact. Fix Route_KM to ~11-13km; cycle/fleet should drop accordingly.","yatra.com budgam-to-srinagar (9km), mapsofindia.com budgam-to-srinagar, haversine 16.7km"
"SRSR02022938","Parimpora to Saidakadal","Urban","14.07","9.0","72.0","7","5","AUTO","20","Engine KM (14.07) is roughly 41-56% higher than a realistic 8-10 km road distance between Parimpora and old-city Saidakadal; likely an inflated/indirect engine path. Corridor itself and headway/fleet are otherwise plausible given old-city congestion.","kashmirlife.net,mapcarta.com,onefivenine.com"
