"Route_Code","Route_Name","Why_deferred"
"SRSR01020922","Soura to LD","real km low-confidence (needs RTO stop register)"
"SRGB01010902","Soura to Gadoora","real km low-confidence (needs RTO stop register)"
"SRSR01020929","Soura to Parimpora","within tolerance / no reliable real km"
"SRSR02022016","Jehangir Chowk to HMT","real km low-confidence (needs RTO stop register)"
"SRSR01020936","Soura to SMHS","real km low-confidence (needs RTO stop register)"
"SRSR02022932","Parimpora to Rangrath","real km low-confidence (needs RTO stop register)"
"SRSR02020427","Batamallo to Pantha Chowk","real km low-confidence (needs RTO stop register)"
"SRSR01020409","Hazratbal to Bone Joint Hospital Barzalla","real km low-confidence (needs RTO stop register)"
"SRSR02023003","Qamarwari to Baghi Mehtab","real km low-confidence (needs RTO stop register)"
"SRSR02022917","Parimpora to Humhama","real km low-confidence (needs RTO stop register)"
"SRSR01020912","Soura to Chuntwaliwar","real km low-confidence (needs RTO stop register)"
"SRPW02022902","Parimpora to Pampore","within tolerance / no reliable real km"
"SRSR01020813","Rangpora to Dalgate","real km low-confidence (needs RTO stop register)"
"SRSR01020823","Rangpora to Lalchowk","real km low-confidence (needs RTO stop register)"
"SRSR02022529","Ma Road to Parimpora","real km low-confidence (needs RTO stop register)"
"SRBR02073901","Srinagar to Aboora","within tolerance / no reliable real km"
"SRBR02073902","Srinagar to Baderkote","within tolerance / no reliable real km"
"SRBG02043902","Srinagar to Loolpora","real km low-confidence (needs RTO stop register)"
"SRKW02033901","Srinagar to Dardpora","within tolerance / no reliable real km"
"SRBG02023910","Srinagar to Ratsun","real km low-confidence (needs RTO stop register)"
"SRKW02033902","Srinagar to Khoor","within tolerance / no reliable real km"
"SRKW02013903","Srinagar to Trehgam KUP","within tolerance / no reliable real km"
"SRBG02023909","Srinagar to Narwara Budgam","real km low-confidence (needs RTO stop register)"
"SRBG02023907","Srinagar to Mirpora Budgam","real km low-confidence (needs RTO stop register)"
"BRBR01010201","Garkote to Baramulla","Garkote identity unresolved: only documented Garkote in Baramulla dist is in Uri (~37 km), but engine pins it ~3 km from Baramulla. Defer to RTO surveyed stop register; numbers unchanged."
"BRBR01020202","Pehilpora to URI via Baramulla","within tolerance / no reliable real km"
"SPSR01020139","Harman to Srinagar","within tolerance / no reliable real km"
"KGSR03020239A","Khull Ahmadabad to Srinagar","within tolerance / no reliable real km"
"PWSR03020939","Wasoora to Srinagar","within tolerance / no reliable real km"
"ANAN05010101","Phalgam to Anantnagh","within tolerance / no reliable real km"
"SRPW02033904","Srinagar to NEW Khanda","within tolerance / no reliable real km"
"SRGB02023901","Srinagar to Gund","real km low-confidence (needs RTO stop register)"
"SRSR02023934","Srinagar to Rasoo","within tolerance / no reliable real km"
"SRPW02030501","Batamaloo to Drussu Pulwama via Marwal","SSCL trunk — legit via-loop, not corrected"
"SRBG02020503","Batamaloo to Budgam Railway Station via Khumeni Chowk","SSCL trunk — legit via-loop, not corrected"
"SRGB02010501","Batamaloo to Beehama Ganderbal via Hazratbal Zakura","SSCL trunk — legit via-loop, not corrected"
"SRGB02034001","TRC to Central University Ganderbal via Karan Nagar Zoonimar 90ft Road","SSCL trunk — legit via-loop, not corrected"
"SRSR02020525","Batamaloo Circular via Khonmoh","SSCL trunk — legit via-loop, not corrected"
"SRPW02022104","Jkpdc Jehangir Chowk to Wadwan","SSCL trunk — legit via-loop, not corrected"
"SRGB02032704","Pantha Chowk to Sumbal","SSCL trunk — legit via-loop, not corrected"
"SRBP02012703","Pantha Chowk to Safapora","SSCL trunk — legit via-loop, not corrected"
"SRSR02020501","Batamaloo to Arath","SSCL trunk — legit via-loop, not corrected"
"SRGB02020503","Batamaloo to Manigam","SSCL trunk — legit via-loop, not corrected"
"SRSR02022728","Pantha Chowk to Panzinara","SSCL trunk — legit via-loop, not corrected"
"SRBG02060502","Batamaloo to Dc Office Budgam","SSCL trunk — legit via-loop, not corrected"
