"Route_Code","Real_RoadKM","Coord_OK","KM_Delta_Pct","Verdict","Reason","Sources"
"SRSR02022008","5-7","Yes","9","PASS","Jehangir Chowk to Bemina is a real ~5 km city corridor (Tribune cites 5 km straight; actual road routing via Rambagh/Qamarwari ~6-7 km). eng 6.545 matches real road distance; short intra-city route.","tribuneindia.com (Bemina-Jehangir Chowk travel); distancecalculator.globefeed.com"
"SRSR02020427","14-15","Yes","20","REVIEW","Real corridor (Batamaloo to Pantha Chowk). Pantha Chowk ~11 km from central Srinagar; Batamaloo to Pantha Chowk via Rambagh/bypass ~14-15 km. eng 17.436 runs ~17-20 percent high; coords sound (haversine ~11.4 km).","distancesfrom.com (Srinagar-Pantha Chowk 11 km); onefivenine.com Pantha Chowk"
"SRSR02020525","13-15","Yes","-1","PASS","Batamaloo Circular via Khonmoh. Khonmoh/Pantha Chowk industrial area dest (34.042,74.882) is ~13-15 km from Batamaloo via Pantha Chowk. eng 13.87 within tolerance; real corridor confirmed.","villagegram.in Khonmoh; onefivenine.com Pantha Chowk; distancesfrom.com"
"SRSR02022941","2.6-3","No","239","FAIL","Hazratbal to Lal Bazar real road distance is only ~2.6 km, but origin coord (34.111,74.747) is the Parimpora hub pin (lon 74.747), NOT Hazratbal (real ~34.13,74.84) - off ~9 km west. eng 8.808 is ~3x the real distance due to wrong origin coord.","distancesfrom.com (Hazratbal-Lal Bazar 2.6 km); en.wikipedia.org/wiki/Hazratbal (10 km from centre, on Dal north bank)"
"SRSR01020930","8-10","Yes","3","PASS","Soura to Qamarwari real corridor. Soura ~9 km N of Lal Chowk, Qamarwari ~5 km; between them ~8-10 km via Eidgah/Parimpora. eng 9.3 sound; coords correct.","en.wikipedia.org/wiki/Soura,_Srinagar; onefivenine.com Qamarwari"
"SRSR02020541","5-6","Yes","-18","PASS","Batamaloo to V.B. Women's College Rainawari (Batpora) real corridor. Haversine ~3.4 km; via-Rainawari winding road ~5-6 km. eng 4.508 slightly low but short intra-city route, small absolute error; coords land on the college area.","indiastudychannel.com (V.B. Women's College Rainawari); mappls.com Vishwa Bharti Womens College Rainawari"
"SRSR02023934","3.5-5","Yes","-7","PASS","Srinagar (centre) to Rasoo. Rasoo is a small north-Srinagar locality near Soura/Hazratbal; dest (34.105,74.810) lands consistently in north Srinagar. Haversine ~3.5 km, eng 4.174 plausible city distance. Name obscure but coord sound.","en.wikipedia.org/wiki/Soura,_Srinagar; en.wikipedia.org/wiki/Hazratbal"
"SRSR02012907","12-15","Yes","8","PASS","Parimpora to Naseem Bagh via Noorbagh/Gojwara/Mill Stop. North-Srinagar corridor (Parimpora 34.111,74.747 to Naseem Bagh 34.133,74.838). Haversine ~8.7 km; winding via-route ~12-15 km. eng 15.058 plausible for the named multi-stop path.","greaterkashmir.com (Shalteng-Parimpora-Qamarwari-Noorbagh route); mapcarta.com Noor Bagh"
"SRSR02020501","9-12","Yes","13","REVIEW","Batamaloo to Arath. Arath is an unverifiable minor locality; dest (34.041,74.847) lands in the SE-Srinagar Pantha Chowk/Lasjan corridor. Haversine ~6.9 km; via-route road ~9-12 km, so eng 12.395 plausible but the destination name could not be independently confirmed on any map source.","indiamapia.com Pantha Chowk; villagegram.in Khonmoh (no direct Arath source found)"
"SRPW02020501","18-21","Yes","-9","PASS","Batamaloo to Khrew Bus Stand. Khrew ~20-21 km from central Srinagar/Lal Chowk; dest (34.040,74.927) is the Khrew/Pampore SE area. eng 18.186 within tolerance (Batamaloo W of centre). Real corridor.","distancesfrom.com (Srinagar-Khrew); en.wikipedia.org/wiki/Khrew; distancebetween2.com pampore/khrew"
