Route_Code,Route_Name,Eng_O,Eng_D,Eng_KM,Eng_Cycle_Min,Eng_Headway,Eng_Fleet,Eng_Type,Eng_Load,Real_RoadKM,Real_OneWay_Time,Real_Service,Coord_Check,KM_Delta_Pct,Time_Check,Verdict,Finding,Sources
"SRBG02010503","Batamaloo to Nasrullah Pora via Jehangir Chowk Rambagh Hyderpora","34.068715,74.779627","34.044025,74.73198","7.083","43.4","15","5","Urban","0.077","6-8","15-20 min","SSCL Route 6B: Batamaloo-Jehangir Chowk-Rambagh-Parraypora-Hyderpora-Humhama-Ompora-Budgam; CMP_Trunk flag matches a real SSCL backbone corridor toward Budgam/Nasrullah Pora","Both endpoints real (Batamaloo locality confirmed; Nasrullah Pora is a real village just inside Budgam district near Budgam town); haversine 5.2 km consistent with a ~7 km road route via the stated via-points","0","One-way ~21-22 min plausible for ~7 km through congested Jehangir Chowk/Rambagh corridor","PASS","Matches a documented SSCL e-bus corridor (Route 6B) toward Budgam; coordinates and via-points are consistent with known geography; headway 15 min plausible for a CMP trunk.","kashmirlife.net,jksrtc.co.in,onefivenine.com"
"SRSR02020541","Batamaloo to Womens College Batpora via Rainawari","34.068715,74.779627","34.087488,74.808297","4.508","36.1","15","4","Urban","0.075","4-5","12-15 min","Srinagar Women's College (Govt Degree College for Women) relocated to Batpora, Zakura in 2019, near Hazratbal/Rainawari; SSCL Route 6A (Hazratbal-Batamaloo via Nigeen, Rainawari, Khanyar) covers this corridor","Both endpoints real; Batpora/Zakura college confirmed via web search; haversine 3.4 km vs modelled 4.5 km road distance is reasonable for an urban detour via Rainawari","0","One-way ~18 min for 4.5 km through Rainawari is plausible given downtown congestion","PASS","Corridor matches SSCL Route 6A coverage (Rainawari-Khanyar-Batamaloo); destination college confirmed at Batpora, Zakura; numbers are internally consistent for a short urban hop.","kashmirlife.net,srinagarwomenscollege.com,swczakura.edu.in"
"SRSR02020613","Batmaloo to Dalgate","34.079006,74.794454","34.081628,74.826887","5.366","42.9","20","4","Urban","0.008","3-4","10-12 min","Dalgate is a well-known Dal Lake-front tourist/transit hub in central Srinagar; minibuses and JKRTC city buses regularly connect Batamaloo (a major bus stand) to Dalgate","Both endpoints real and well known; haversine 3.0 km vs modelled 5.4 km road distance is plausible given one-way loops around the Dalgate/Boulevard area","20-21","One-way ~21 min for 5.4 km seems slightly long for the haversine distance but explainable by Srinagar's one-way traffic system near Dal Lake/Dalgate","REVIEW","Modelled road distance (5.4 km) is roughly 80% longer than straight-line (3.0 km); within tolerance for a short urban route given the documented Dalgate one-way detours, but extremely low load (0.008) suggests this route may be redundant with other Batamaloo-area services — flag for de-duplication.","onefivenine.com,distcalculator.com,tribuneindia.com"
"SRSR02011109","Chanapora to Soura","34.033985,74.808002","34.137704,74.802102","14.108","105.9","20","7","Urban","0.057","11-12","30-35 min","Chanapora and Soura are both established Srinagar localities; Soura is ~9 km north of Lal Chowk on the Srinagar-Ladakh highway, served by SSCL Route 5/15 networks that pass near Chanapora via Jehangir Chowk/Batamaloo corridors","Both endpoints real; haversine 11.55 km vs modelled 14.1 km is a reasonable ~22% road/circuity premium for a north-south city traverse","17-23","One-way ~53 min for 14 km within city traffic is on the slow side but plausible given congestion through the city core (Jehangir Chowk/downtown) en route to Soura","REVIEW","KM delta is within tolerance but the implied average speed (~16 km/h one-way) is slow even for Srinagar city traffic; verify whether the route truly transits downtown or has a more direct alignment via the bypass.","wikipedia.org (Soura, Srinagar),onefivenine.com,alldistancebetween.com"
"BRBR01010201","Garkote to Baramulla","34.1981,74.364653","34.208735,74.342587","2.961","23.7","35","2","Urban","0.199","37 (real Garkote, Uri block) vs ~2-3 (engine coords)","N/A — coordinate mismatch","No confirmed service to the real Garkote village; only generic JKRTC Kashmir-division services pass near Baramulla town","Garkote (the only documented village of this name in Baramulla district) is in Uri block, 37 km west of Baramulla town and 12 km from Uri town — NOT the ~2.4 km haversine distance implied by the engine's O/D coordinates, which sit just outside Baramulla town itself","ENGINE COORDINATES DO NOT MATCH REAL GARKOTE","N/A","FAIL","Real Garkote village (Uri tehsil, Baramulla district) is 37 km from Baramulla town; the engine's O coordinate (34.1981,74.364653) is only ~2.4 km from its D coordinate (Baramulla town), meaning the geocoder almost certainly resolved 'Garkote' to a wrong/generic point near Baramulla rather than the real village. This is a coordinate/geocoding error, not a real short urban corridor.","onefivenine.com (Garkote-a Uri),villageinfo.org,geolysis.com"
"SRSR01020422","Hazratbal to LD","34.127549,74.835646","34.081954,74.805892","9.286","74.3","35","4","Urban","0.079","6-7","20-25 min","Hazratbal (shrine/locality, north Srinagar) to LD (Lal Ded Hospital area, central Srinagar) is a well-travelled corridor served by city minibuses and SSCL routes via Nigeen/Rainawari/Dalgate","Both endpoints real and well documented; haversine 5.76 km vs modelled 9.3 km is a high ~61% premium, larger than typical for this corridor length","34-55","One-way ~37 min for what should be a ~6-7 km drive (10-15 min by Google Maps-type estimate) suggests Eng_Cycle is overstated, OR the route takes a longer via-alignment not stated in the name","REVIEW","Distance premium (haversine 5.76 vs modelled 9.3 km, +61%) is higher than typical for a direct Hazratbal-LD hop; either an unstated via-detour exists or the route geometry needs rechecking. Corridor and both endpoints are real and served.","wikipedia.org (Hazratbal),onefivenine.com,kashmirlife.net"
"SRSR02022941","Hazratbal, Lalbazar","34.111187,74.747451","34.087134,74.811433","8.808","70.5","35","4","Urban","0.057","6-7","18-22 min","Lal Bazar (Srinagar, pin 190023) is ~8 km from city centre; corridor between Parimpora/Hazratbal area and Lal Bazar plausible via local minibus network, no dedicated SSCL route confirmed by name","O coordinate (34.111187,74.747451) is actually Parimpora, not Hazratbal proper (~34.1275,74.8356 per other rows) — naming/endpoint inconsistency; D (Lal Bazar) correctly placed","27-39","One-way ~35 min for 8.8 km is slow but plausible for downtown Lal Bazar congestion","REVIEW","Route name says 'Hazratbal' but O coordinate (34.111187,74.747451) matches Parimpora, not the true Hazratbal point used elsewhere (34.127549,74.835646) — likely a naming/endpoint mismatch from route consolidation; verify intended origin.","onefivenine.com (Lal Bazar); wikipedia.org (Hazratbal); indiainfo.net"
"SRSR02021807","JVC to Batwara","34.085141,74.762209","34.05838,74.85221","14.66","117.3","35","5","Urban","0.029","9-10","25-30 min","JVC = JVC Hospital, Bemina (Police Colony Green Belt) — a real, well-known landmark; Batwara is a real Srinagar neighbourhood near Jawahar Nagar/Rajbagh area","Both endpoints real; haversine 8.81 km vs modelled 14.66 km (+66%) is a notably high circuity premium for an intra-city route","48-59","One-way ~59 min for 14.66 km (avg ~15 km/h) is slow even for Srinagar congestion; suggests the route detours significantly or the cycle time is overstated","REVIEW","KM premium (+66% over haversine) and slow implied speed (~15 km/h one-way) are both on the high end; corridor and endpoints (JVC Hospital Bemina; Batwara) are real, but the routing/cycle-time should be rechecked against an actual road path.","mappls.com (JVC Hospital Bemina),justdial.com,onefivenine.com (Jawahar Nagar)"
"SRSR02022008","Jehangir Chowk to Bemina","34.071881,74.804719","34.07618,74.768237","6.545","52.4","35","3","Urban","0.019","5","10-15 min","Confirmed by The Tribune: 'Bemina-Jehangir Chowk travel a chaotic affair' — distance reported as 'merely five kilometres'; well-documented congested corridor; also covered by SSCL Route 9 circular","Both endpoints real and the corridor is independently documented in local press","31","One-way ~26 min for 5-6 km matches the press characterization of this corridor as congested/'chaotic' despite the short distance","PASS","Independently confirmed real, congested corridor (Tribune article explicitly describes Bemina-Jehangir Chowk as ~5 km but slow); modelled 6.5 km is a reasonable circuity allowance (+31%, within short-route tolerance); headway/fleet sane.","tribuneindia.com,kashmirlife.net,mappls.com"
"SRSR02022016","Jehangir Chowk to HMT","34.071881,74.804719","34.108505,74.74716","10.311","82.5","35","4","Urban","0.027","7-8","20-25 min","HMT = the old HMT Watch Factory locality at Zainakote, Shaltang HMT Road, Industrial Area, Srinagar — a real, documented locality (190012); served by general city/JKRTC minibus services along Shaltang Road","Both endpoints real; haversine 6.68 km vs modelled 10.3 km (+44-54%) is a moderate-to-high circuity premium for this distance class","32-41","One-way ~41 min for 10.3 km (avg ~15 km/h) is slow but within plausible bounds for Srinagar peri-urban congestion","REVIEW","KM premium is on the high side (+44% to +54% vs two plausible real-road estimates) for a route of this length; corridor and endpoint (HMT/Zainakote) are real and documented, but routing should be rechecked for unnecessary detour.","mappls.com (Zainakote/HMT),greaterkashmir.com (HMT factory history),wikimapia.org"
