Route_Code,Route_Name,Eng_O,Eng_D,Eng_KM,Eng_Cycle_Min,Eng_Headway,Eng_Fleet,Eng_Type,Eng_Load,Real_RoadKM,Real_OneWay_Time,Real_Service,Coord_Check,KM_Delta_Pct,Time_Check,Verdict,Finding,Sources
"KGSR01020139","Nehama to Srinagar","33.634388,74.895335","34.07457,74.820502","62.131","186.4","50","5","Regional_District","0.198","62-70","~1h45m-2h","JKRTC/private sumo on the Kulgam-D.H.Pora-Srinagar corridor, a few daily","GOOD: Nehama is a real village in D.H. Pora tehsil, Kulgam (~12 km SW of Kulgam town); coords land in that belt, haversine 49 km, circuity 1.26 normal","-7","Plausible: one-way ~93 min modelled vs ~105-120 min real for the foothill road","PASS","Real corridor; Nehama in D.H.Pora/Kulgam confirmed. Kulgam-Srinagar ~67 km and Nehama ~12 km beyond, so 62 km is in band. The 50-min headway over-provisions a thin low-load lifeline but is the deliberate year-round recommended size.","villageinfo.org/village/4061, geolysis.com, distancesfrom.com"
"SRBP02012703","Pantha Chowk to Safapora","34.044708,74.833526","34.376895,74.718101","60.631","181.9","15","15","Regional_District","0.237","36-40","~1h10m-1h30m","Ganderbal/Sumbal corridor served by JKRTC + heavy private minibus","GOOD endpoints, but circuity 1.58 is high: Safapora is a real Ganderbal village, Pantha Chowk is south Srinagar; haversine only 38 km","59","Cycle implies ~91 min one-way vs ~75-85 min real","REVIEW","Safapora is officially 30 km from Srinagar (via Sumbal or Ganderbal); adding ~7-8 km for the Pantha Chowk origin gives ~38 km real, yet engine models 60.6 km (+59%). Inflated/indirect routing - recommend re-check the OSRM path, should be ~38-40 km.","en.wikipedia.org/wiki/Safapora, distancebetween2.com, ganderbal.nic.in"
"KGSR03020439","Pariwan to Srinagar","33.662974,74.924196","34.07457,74.820502","60.618","181.9","50","5","Regional_District","0.185","63-70","~1h45m-2h","Kulgam/Yaripora-Srinagar corridor served by JKRTC + sumo","GOOD: Pariwan is a real village in Kulgam tehsil (~9 km from Kulgam); coords in the Yaripora/Kulgam belt, haversine 47 km, circuity 1.30","-9","Plausible: one-way ~91 min modelled vs ~105-115 min real","PASS","Real corridor; Pariwan (Kulgam) confirmed 9 km from Kulgam HQ. 60.6 km consistent with Kulgam-Srinagar ~67 km. 50-min headway over-provisions a low-load lifeline (deliberate year-round size).","villageinfo.in (Pariwan), kulgam.nic.in, distancesfrom.com"
"PWSR03020839","Sangerwani to Srinagar","33.797611,74.727362","34.07457,74.820502","44.959","134.9","50","4","Regional_District","0.131","39-45","~1h05m-1h25m","Pulwama/Rajpora-Srinagar corridor served by JKRTC + minibus/sumo","GOOD: Sanger Wani is a real village in Rajpora tehsil, Pulwama (~8 km from Pulwama town); coords in SW-Pulwama foothills, haversine 32 km (circuity 1.41 = foothill detour)","8","Plausible: one-way ~67 min vs ~65-85 min real","PASS","Real corridor; Sanger Wani (Rajpora, Pulwama) confirmed. Pulwama-Srinagar ~31 km and Sangerwani ~8-13 km further SW, so 45 km is in band. Headway/fleet sane for a thin lifeline.","en.wikipedia.org/wiki/Sanger_Wani, villageinfo.in, distancebetween2.com"
"SPSR01020539","Sedow to Srinagar","33.664237,74.784877","34.07457,74.820502","57.772","173.3","50","5","Regional_District","0.162","46","~1h15m-1h35m","Shopian-Srinagar corridor served by JKRTC (Srinagar-Shopian listed) + sumo; Sedow is a feeder off it","GOOD: Sedow is a real village in Shopian tehsil (~8 km from Shopian town); coords in Shopian foothills, haversine 46 km, circuity 1.26","26","One-way ~87 min modelled vs ~75-95 min real; acceptable","REVIEW","Sedow is officially 46 km from Srinagar (shopian.nic.in / icbse); engine models 57.8 km (+26%). Endpoint correct but distance over-modelled - recommend re-check OSRM path, target ~46-50 km.","shopian.nic.in, geolysis.com, icbse.com"
"ANSR06020139","Shangus to Srinagar","33.744937,75.346685","34.07457,74.820502","80.474","241.4","50","6","Regional_District","0.282","75-79","~2h-2h30m","JKRTC runs Srinagar-Anantnag; Shangus (tehsil HQ) served via Anantnag by sumo/minibus","GOOD: Shangus is a real Anantnag tehsil; coords sit SE toward Achabal/Kokernag edge, haversine 61 km. Must route via Anantnag (no direct road)","5","Plausible: one-way ~120 min vs ~120-150 min real for the via-Anantnag approach","PASS","Real corridor; Shangus-Srinagar ~75-79 km via Anantnag (Airport-Shangus 69 km; Anantnag-Srinagar 59 km plus Shangus ~20 km from Anantnag). Engine 80.5 km is a good match. Tourist flag (Kokernag/Achabal belt) reasonable.","en.wikipedia.org/wiki/Shangus, yatra.com, distancesfrom.com"
"SPSR01020639","Shopian to Srinagar","33.719229,74.833266","34.07457,74.820502","48.367","145.1","50","4","Regional_District","0.13","41-51","~1h-1h20m","JKRTC explicitly runs Srinagar-Shopian; heavy private minibus/sumo, multiple daily","GOOD: Shopian town coords correct, haversine 39.5 km, circuity 1.22 normal","5","Plausible: one-way ~73 min vs ~55-80 min real","PASS","Real, well-served trunk corridor. Sources span 41-57 km (most 41-51); engine 48.4 km sits mid-range. The 50-min headway likely UNDER-provisions a busy district corridor that runs frequent service - could justify a tighter headway.","distancebetween2.com, jksrtc.co.in, distancesfrom.com"
"KWSR03020539","Sogam to Srinagar","34.497043,74.37747","34.07457,74.820502","105.052","315.2","50","9","Regional_District","0.16","114","~2h30m-3h","Bus takes ~2h30m over 114 km via Sopore and Kupwara; JKRTC + Justdial-listed Sogam-Srinagar bus services","GOOD: Sogam (Lolab HQ, Kupwara) coords correct, haversine 62 km, circuity 1.69 reflects the long Sopore-Kupwara-Lolab dogleg","-8","Plausible: one-way ~158 min vs ~150 min real (2h30m)","PASS","Real corridor confirmed at 114 km via Sopore/Kupwara (Lolab Valley); engine 105 km slightly short but in band. Far-north Lolab lifeline - real frequency is a few buses/day, so 50-min headway over-provisions, but is the deliberate year-round size.","en.wikipedia.org/wiki/Lolab_Valley, justdial.com, onefivenine.com"
"BRSR06020239","Sopore to Srinagar","34.287026,74.462679","34.07457,74.820502","50.022","150.1","50","5","Regional_District","0.053","46-49","~55m-1h10m","JKRTC + very heavy private minibus on the Sopore-Sangrama-Srinagar trunk, frequent","GOOD: Sopore (Baramulla) coords correct, haversine 40.5 km, circuity 1.23 normal","5","Plausible: one-way ~75 min modelled vs ~50-55 min real; slightly slow","PASS","Real, busy trunk corridor. Sources 43-49 km (most ~46-49); engine 50 km matches. Lowest load (0.053) of the batch yet 5 buses - the 50-min headway over-provisions a corridor already saturated by private operators.","distancebetween2.com, distancesfrom.com, alldistancebetween.com"
"SRBR02073901","Srinagar to Aboora","34.07457,74.820502","34.056918,74.536834","32.753","98.3","50","3","Regional_District","0.038","30-37","~50m-1h05m","Beerwah/Khansahib (Budgam) corridor served by JKRTC + minibus","WEAK: village 'Aboora' not confirmed by name, but coords (34.057,74.537) fall in the Beerwah/Khansahib belt of Budgam (~26 km haversine, circuity 1.25); plausible","-3","Plausible: one-way ~49 min vs ~50-60 min real","REVIEW","Could not verify a village named 'Aboora'; coords place it in the Beerwah area of Budgam where towns are 27-35 km from Srinagar, so 32.8 km is in band. Recommend confirming exact stop name/spelling against the permit register.","en.wikipedia.org/wiki/Beerwah,_Jammu_and_Kashmir, mapsofindia.com, onefivenine.com"
"SRBG02063901","Srinagar to Arizal","34.07457,74.820502","33.850294,74.564558","44.306","132.9","50","4","Regional_District","0.071","45-50","~1h10m-1h30m","Srinagar-Magam-Beerwah-Arizal route served by minibus/sumo, limited frequency","GOOD: Aarizal is a real village in Khansahib tehsil, Budgam (Sukhnag Valley, Pir Panjal base); coords correct, haversine 34 km, circuity 1.29","-2","Plausible: one-way ~66 min vs ~75-90 min real for the foothill climb","PASS","Real corridor; Aarizal is officially 45 km from Srinagar (50 km via Magam-Beerwah). Engine 44.3 km is an excellent match. Tourist flag (Sukhnag/Doodhpathri belt) reasonable.","en.wikipedia.org/wiki/Aarizal, budgam.nic.in, distancecalculator.globefeed.com"
"SRBR02073902","Srinagar to Baderkote","34.07457,74.820502","34.041835,74.459012","42.864","128.6","50","4","Regional_District","0.062","35-45","~1h-1h20m","Beerwah/Khansahib (Budgam) corridor served by JKRTC + minibus","WEAK: village 'Baderkote' not confirmed by name, but coords (34.042,74.459) fall in the Beerwah/Khansahib belt of Budgam (~33 km haversine, circuity 1.28); plausible","2","Plausible: one-way ~64 min vs ~60-80 min real","REVIEW","Could not verify a village named 'Baderkote'; coords place it west of Beerwah in Budgam where towns are ~27-45 km from Srinagar, so 42.9 km is in band. Tourist flag set. Recommend confirming exact stop name/spelling against the permit register.","en.wikipedia.org/wiki/Beerwah,_Jammu_and_Kashmir, mapsofindia.com, budgam.nic.in"
