raw,district,dest
Shanglipora,Budgam,SHANGLIPORA
Isganderpora,Budgam,ISGANDERPORA
Aboora,Budgam,ABOORA
Arizal,Budgam,ARIZAL
Baderkote,Budgam,BADERKOTE
Loolpora,Budgam,LOOLPORA
Beeru,Budgam,BEERU
Dardpora,Budgam,DARDPORA
Gaguldara,Budgam,GAGULDARA
Ratnipora,Budgam,RATNIPORA
Ratsun,Budgam,RATSUN
Khag,Budgam,KHAG
Karhama,Budgam,KARHAMA
Chewdara,Budgam,CHEWDARA
Badrun,Budgam,BADRUN
Tangmarg,Budgam,TANGMARG
Khoor,Budgam,KHOOR
Handwara,Budgam,HANDWARA
Sheikhpora Kakuthal,Budgam,SHEIKHPORA KAKUTHAL
Trehgam    Kup,Budgam,TREHGAM    KUP
Chowkibal,Budgam,CHOWKIBAL
Milyaal,Budgam,MILYAAL
Zurhama,Budgam,ZURHAMA
Tarthpora,Budgam,TARTHPORA
Gazriyal,Budgam,GAZRIYAL
Hajin,Budgam,HAJIN
Safapora Sumbal,Budgam,SAFAPORA SUMBAL
Safapora Gbl,Budgam,SAFAPORA GBL
Narwara Budgam,Budgam,NARWARA BUDGAM
Charishreef,Budgam,CHARISHREEF
Pakherpora,Budgam,PAKHERPORA
Tral Dadsur,Budgam,TRAL DADSUR
Pasthoon,Budgam,PASTHOON
Naristan,Budgam,NARISTAN
Pinglish,Budgam,PINGLISH
Tral Nowdal,Budgam,TRAL NOWDAL
Qazigund,Budgam,QAZIGUND
Mirpora  Budgam,Budgam,MIRPORA  BUDGAM
Vijipopra,Budgam,VIJIPOPRA
Kupwara  Day,Budgam,KUPWARA  DAY
Uri   Baramulla                           service oprated recently,Budgam,URI   BARAMULLA                           SERVICE OPRATED RECENTLY
Tangdar,Budgam,TANGDAR
Zachaldar,Budgam,ZACHALDAR
Bpr to Srinagar-1,Bandipora,BPR TO SRINAGAR
Bandipora-Soura,Bandipora,BANDIPORA
BanKoot-Sgr via BPR,Bandipora,BANKOOT
Arin- Srinagar,Bandipora,ARIN
Malangam to Srinagar,Bandipora,MALANGAM TO SRINAGAR
BPR to Baramulla,Bandipora,BPR TO BARAMULLA
Sopore-Srinagar,Baramulla,SOPORE
Zaloora-Sgr,Baramulla,ZALOORA
Botingue- Sgr,Baramulla,BOTINGUE
Baramulla-Srinagar,Baramulla,BARAMULLA
Uri- Srinagar,Baramulla,URI
KamalKote – Baramulla,Baramulla,KAMALKOTE – BARAMULLA
Garkote – Baramulla,Baramulla,GARKOTE – BARAMULLA
Nambia – Baramulla,Baramulla,NAMBIA – BARAMULLA
Fathgath -  Sgr,Baramulla,FATHGATH
Pehilpora –Uri Via BLA,Baramulla,PEHILPORA –URI VIA BLA
Kachoo- Baramulla,Baramulla,KACHOO
Maidanan – Srinagar,Baramulla,MAIDANAN – SRINAGAR
Ijara – Srinagar,Baramulla,IJARA – SRINAGAR
Baramula –Kupwra,Baramulla,BARAMULA –KUPWRA
Kupwara- Srinagar,Kupwara,KUPWARA
Sogam- Srinagar,Kupwara,SOGAM
Kapwara-Tekipora-,Kupwara,KAPWARA
Srinagar,Kupwara,SRINAGAR
Shopian – Srinagar,Shopian,SHOPIAN – SRINAGAR
Sedow – Srinagar,Shopian,SEDOW – SRINAGAR
Harman – Srinagar,Shopian,HARMAN – SRINAGAR
Kaprin – Srinagar,Shopian,KAPRIN – SRINAGAR
Nehama – Srinagar,Shopian,NEHAMA – SRINAGAR
Khull Ahmadabad – Sgr,Kulgam,KHULL AHMADABAD – SGR
D.H.Pora – Srinagar,Kulgam,D.H.PORA – SRINAGAR
Pariwan – Srinagar,Kulgam,PARIWAN – SRINAGAR
Kulgam- Srinagar,Kulgam,KULGAM
Katrosoo-Srinagar,Kulgam,KATROSOO
Yaripora-Srinagar,Kulgam,YARIPORA
Pulwama – Srinagar,Pulwama,PULWAMA – SRINAGAR
Pulwama- Srinagar,Pulwama,PULWAMA
Koil – Srinagar,Pulwama,KOIL – SRINAGAR
Wasoora- Srinagar,Pulwama,WASOORA
Lettar-Achan-Sgr,Pulwama,LETTAR
Letter-Srinagar,Pulwama,LETTER
Heff- Srinagar,Pulwama,HEFF
Keller-Shopian-Sgr,Pulwama,KELLER
Achguze- Srinagar,Pulwama,ACHGUZE
Sangerwani- Srinagar,Pulwama,SANGERWANI
Anantnagh - Srinagar,Anantnag,ANANTNAGH
Phalgam- Anantnagh,Anantnag,PHALGAM
Mawan- Srinagar,Anantnag,MAWAN
Devsur-Srinagar,Anantnag,DEVSUR
Lammer- Anantnagh,Anantnag,LAMMER
Kaprun- Srinagar,Anantnag,KAPRUN
Chowgund- Srinagar,Anantnag,CHOWGUND
Shangus- Srinagar,Anantnag,SHANGUS
Uttersoo- Srinagar,Anantnag,UTTERSOO
Vailo – Srinagar,Anantnag,VAILO – SRINAGAR
Chakil pora- Sgr,Anantnag,CHAKIL PORA
Haftnar – Anantnagh,Anantnag,HAFTNAR – ANANTNAGH
Kherum- Anantnagh,Anantnag,KHERUM
Matigawran-  Ang,Anantnag,MATIGAWRAN
Anantnagh - Shopian,Anantnag,SHOPIAN
Vehicle No,Srinagar,VEHICLE NO
JK01Y-0797,Srinagar,JK01Y
