Route_Name,Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Via_Points_Raw,Via_Points_Geocoded,Vehicle_Category,Service_Type
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,BUDGAM,34.0063048,74.6417809,JEHANGIR CHOWK,,LPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,HAZRATBAL,34.1272157,74.8356734,QAMARWARI,"34.0948927,74.766525",LPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,CHADORA,33.9437273,74.7986725,BATAMALLO,"34.0692325,74.7917031",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,CHADORA,33.9437273,74.7986725,BATAMALLO,"34.0692325,74.7917031",MPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,GANDERBAL,34.192763,74.7700157,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,SOURA,34.1378333,74.8021097,GANDERBAL,34.192763,74.7700157,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,LALCHOWK,34.0712565,74.8104927,LD,"34.0668052,74.8080919",MPV,Express Service
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,HAZRATBAL,34.1272157,74.8356734,BUCHPORA,"34.1508768,74.8031354",MPV,Ordinary Service
,TRC,34.0746936,74.8246949,HAZRATBAL,34.1272157,74.8356734,KHAYAMKHANYARRAINAWARISAIDA KADALDALGATE,,LPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,RAILWAY STATION,34.0238093,74.8472507,DALGATE,"34.0816285,74.8268875",MPV,
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,LALCHOWK,"34.0712565,74.8104927",MPV,
,MALBAGH,34.1443369,74.8259441,LD,34.0668052,74.8080919,ILLAHIBAGH,,MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,PARIMPORA,34.0814091,74.7131047,SAKIDAFAR,,LPV,
,SOURA,34.1378333,74.8021097,HAZRATBAL,34.1272157,74.8356734,BUCHPORA,"34.1508768,74.8031354",LPV,
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,NOWHATA,"34.0982837,74.812206",LPV,
,PARIMPORA,34.0814091,74.7131047,SAIDAKADAL,34.103318,74.8272458,DALGATE,"34.0816285,74.8268875",LPV,
,SORA,34.1378333,74.8021097,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",LPV,
,PARIMPORA,34.0814091,74.7131047,PANTHA CHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",LPV,
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,BUCHPORA,"34.1508768,74.8031354",LPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,CHADORA,33.9437273,74.7986725,JEHANGIR CHOWK,,MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",LPV,Ordinary Service
,SOURA,34.1378333,74.8021097,RAILWAY STATION,34.0238093,74.8472507,SONAWAR,"34.0731374,74.8390388",LPV,
,SOURA,34.1378333,74.8021097,HAZRATBAL,34.1272157,74.8356734,BUCHPORA,"34.1508768,74.8031354",LPV,
,SORA,34.1378333,74.8021097,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",LPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,RAWALPORA,34.0195992,74.7993842,BARZULLA,"34.0501159,74.8017653",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,RAWALPORA,34.0195992,74.7993842,BARZULLA,"34.0501159,74.8017653",MPV,
,PARIMPORA,34.0814091,74.7131047,RAWALPORA,34.0195992,74.7993842,BARZULLA,"34.0501159,74.8017653",LPV,Express Service
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,90FEET,,LPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,QAMARWARI,34.0948927,74.766525,MILL STOP,"34.1204487,74.8068003",HPV,Express Service
,SAFAKADAL,34.0932178,74.7916738,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,LPV,Express Service
,SOURA,34.1378333,74.8021097,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,Express Service
,SOURA,34.1378333,74.8021097,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,Express Service
,SOURA,34.1378333,74.8021097,PARIMPORA,34.0814091,74.7131047,HAWAL,"34.1060673,74.8075336",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,SAIDAKADAL,34.103318,74.8272458,DALGATE,"34.0816285,74.8268875",MPV,Express Service
,SOURA,34.1378333,74.8021097,QAMARWARI,34.0948927,74.766525,EIDGAH,"34.097573,74.7921418",LPV,Ordinary Service
,SOURA,34.1378333,74.8021097,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,Express Service
,QAMARWARI,34.0948927,74.766525,PATHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",MPV,Ordinary Service
,SOURA,34.1378333,74.8021097,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",MPV,Express Service
,LALBAZAR,34.1255664,74.817375,LD,34.0668052,74.8080919,LALCHOWK,"34.0712565,74.8104927",MPV,Express Service
,QAMARWARI,34.0948927,74.766525,DALGATE,34.0816285,74.8268875,KHANYAR,"34.093309,74.8145107",MPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARI,"34.0960689,74.8255204",MPV,
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARI,"34.0960689,74.8255204",MPV,Express Service
