row,from,to,vehicle,reason
12367,,,MPV,blank_origin_and_destination
12374,Lawaypora,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12377,SOURA,GADOORA,MPV,ungeocoded: destination 'GADOORA'
12381,,,MPV,blank_origin_and_destination
12382,Jehangir Chowk,Soura,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12383,,,MPV,blank_origin_and_destination
12388,,,HPV,blank_origin_and_destination
12389,,,HPV,blank_origin_and_destination
12390,,,HPV,blank_origin_and_destination
12391,,,HPV,blank_origin_and_destination
12392,,,LPV,blank_origin_and_destination
12394,,,HPV,blank_origin_and_destination
12395,,,HPV,blank_origin_and_destination
12396,,,HPV,blank_origin_and_destination
12398,,,HPV,blank_origin_and_destination
12401,,,LPV,blank_origin_and_destination
12402,,,HPV,blank_origin_and_destination
12403,,,MPV,blank_origin_and_destination
12404,Jehangir Chowk,JVC,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12405,,,HPV,blank_origin_and_destination
12406,,,MPV,blank_origin_and_destination
12407,Jehangir Chowk,JVC,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12408,,,MPV,blank_origin_and_destination
12409,,,HPV,blank_origin_and_destination
12413,,,HPV,blank_origin_and_destination
12414,,,HPV,blank_origin_and_destination
12415,,,MPV,blank_origin_and_destination
12416,,,HPV,blank_origin_and_destination
12417,,,HPV,blank_origin_and_destination
12418,,,MPV,blank_origin_and_destination
12419,,,MPV,blank_origin_and_destination
12420,,,HPV,blank_origin_and_destination
12421,,,MPV,blank_origin_and_destination
12422,,,HPV,blank_origin_and_destination
12423,,,MPV,blank_origin_and_destination
12424,,,MPV,blank_origin_and_destination
12425,,,HPV,blank_origin_and_destination
12426,Jehangir Chowk,JVC,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12427,Jehangir Chowk,JVC,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12428,,,MPV,blank_origin_and_destination
12429,,,HPV,blank_origin_and_destination
12430,,,HPV,blank_origin_and_destination
12431,Jehangir Chowk,Budgam,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12433,,,HPV,blank_origin_and_destination
12434,Jehangir Chowk,JVC,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12435,,,HPV,blank_origin_and_destination
12436,,,HPV,blank_origin_and_destination
12438,,,HPV,blank_origin_and_destination
12439,,,HPV,blank_origin_and_destination
12440,Jehangir Chowk,HMT,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12441,,,MPV,blank_origin_and_destination
12442,,,MPV,blank_origin_and_destination
12443,,,MPV,blank_origin_and_destination
12444,,,MPV,blank_origin_and_destination
12445,,,MPV,blank_origin_and_destination
12446,,,MPV,blank_origin_and_destination
12447,scraped,,MPV,"ungeocoded: origin 'SCRAPED', destination 'None'"
12448,scraped,,MPV,"ungeocoded: origin 'SCRAPED', destination 'None'"
12449,scraped,,MPV,"ungeocoded: origin 'SCRAPED', destination 'None'"
12450,,,HPV,blank_origin_and_destination
12451,,,HPV,blank_origin_and_destination
12452,,,HPV,blank_origin_and_destination
12453,,,HPV,blank_origin_and_destination
12461,Baghat Shora,Lalchowk,LPV,ungeocoded: origin 'BAGHAT SHORA'
12462,,,MPV,blank_origin_and_destination
12463,Jehangir Chowk,JVC,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12464,,,LPV,blank_origin_and_destination
12465,Scrapped ,,MPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
12466,Scrapped ,,MPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
12467,Scrapped ,,MPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
12468,Scrapped ,,MPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
12469,Scrapped ,,MPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
12470,Scrapped ,,MPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
12471,Scrapped ,,HPV,"ungeocoded: origin 'SCRAPPED', destination 'None'"
