name,lat,lon,source,conf
90FEET,,,UNRESOLVED,
ABOORA,34.05678,74.53618,nominatim,high
ACHGUZE,,,UNRESOLVED,
ANANTNAGH,33.74611,75.18545,nominatim,high
ARIN,,,UNRESOLVED,
ARIZAL,33.83711,74.48465,arcgis,low
BADERKOTE,34.04197,74.45897,nominatim,high
BADRUN,34.03398,74.54889,arcgis,low
BAGHAT SHORA,34.04198,74.80241,photon,low
BANKOOT,,,UNRESOLVED,
BEERU,,,UNRESOLVED,
BOHRIKADAL,,,UNRESOLVED,
BONE JOINT HOSPITAL BARZALLA,,,UNRESOLVED,
BOTINGUE,34.37232,74.48877,arcgis,low
BUGAM,33.68997,75.02656,nominatim,high
BY PASS,33.69407,75.19347,photon,low
CHAKIL PORA,34.12578,74.79599,photon,low
CHARISHREEF,33.86203,74.76977,arcgis,low
CHEWDARA,34.02676,74.6055,nominatim,high
CHOWGUND,,,UNRESOLVED,
CHUNTWALIWAR,,,UNRESOLVED,
DARDPORA,34.50927,74.08367,nominatim,high
DEVSUR,33.63956,75.09258,arcgis,low
DHPORA,33.65095,75.02426,arcgis,low
EASTERN AREA OF SRINAGAR CITY,34.07238,74.81516,photon+arcgis,med
EXB CROSSING,,,UNRESOLVED,
EXCROSSING,34.02484,74.00256,arcgis,low
FATHGATH,,,UNRESOLVED,
GADOORA,34.17517,74.78275,arcgis,low
GAGULDARA,33.84723,75.34766,arcgis,low
GARKOTE,,,UNRESOLVED,
GAZRIYAL,34.53358,74.13082,arcgis,low
GBS,,,UNRESOLVED,
GULABAGH,34.18015,74.81681,arcgis,low
HAFTNAR,33.83123,75.34074,arcgis,low
HARMAN,33.71017,74.9261,arcgis,low
HEFF,33.79577,74.97337,arcgis,low
IJARA,34.18007,74.23465,arcgis,low
ILLAHIBAGH,34.15222,74.81073,arcgis,low
ISGANDERPORA,34.0258,74.56759,arcgis,low
JEHANGIR CHOWK,34.07189,74.80491,photon,low
KACHOO,,,UNRESOLVED,
KAMALKOTE,34.13136,73.96371,arcgis,low
KAPRIN,33.66922,74.90409,nominatim,high
KAPRUN,33.45268,75.36821,arcgis,low
KAPWARA,,,UNRESOLVED,
KARHAMA,34.06188,74.51852,nominatim,high
KATROSOO,33.68665,74.99479,arcgis,low
KELLER,33.76326,74.76575,arcgis,low
KHAG,33.9986,74.53099,nominatim,high
KHAYA,34.08347,74.82229,photon,low
KHERUM,,,UNRESOLVED,
KHOOR,34.58195,74.13176,nominatim,high
KHULL AHMADABAD,33.59614,74.95782,arcgis,low
KHUMANI CHOWK,34.03118,74.90479,photon,low
KOIL,33.87541,74.94956,nominatim,high
KUPWARA DAY,34.54866,74.23882,photon,low
KUPWRA,,,UNRESOLVED,
LAMMER,,,UNRESOLVED,
LETTAR,,,UNRESOLVED,
LETTER,,,UNRESOLVED,
LOOLPORA,33.85783,74.68835,arcgis,low
MAIDANAN,34.04038,74.20812,arcgis,low
MALANGAM,34.45333,74.56537,arcgis,low
MATIGAWRAN,,,UNRESOLVED,
MAWAN,34.33523,74.61705,arcgis,low
MILYAAL,34.55552,74.09459,arcgis,low
MIRPORA BUDGAM,34.04173,74.6206,nominatim,high
MOMINABAD TENGPORA,34.22854,74.7801,photon+arcgis,med
NALLAMAR ROAD,34.13392,74.83674,photon,low
NAMBIA,34.06991,74.11052,arcgis,low
NARISTAN,34.0553,75.10103,arcgis,low
NARWARA BUDGAM,34.03684,74.62461,photon,low
NEHAMA,33.63458,74.89535,nominatim,high
NEW KHANDA,33.9154,74.88252,photon,low
PAKHERPORA,33.81517,74.76419,nominatim,high
PARIWAN,33.663,74.92412,nominatim,high
PASTHOON,33.99229,75.07585,arcgis,low
PEHILPORA,34.1897,74.21038,arcgis,low
PHALGAM,34.01439,75.31842,arcgis,low
PINGLISH,33.91329,75.13216,nominatim,high
RASOO,34.10539,74.8097,photon,low
RATNIPURA,33.91694,74.94821,arcgis,low
RATSUN,34.05873,74.59386,arcgis,low
SAFAPORA GBL,34.26278,74.67551,photon+arcgis,med
SAFAPORA SUMBAL,34.25427,74.66346,nominatim,high
SAKIDAFAR,,,UNRESOLVED,
SANGERWANI,33.7977,74.72726,arcgis,low
SCRAPED,,,UNRESOLVED,
SCRAPPED,,,UNRESOLVED,
SEDOW,33.66425,74.78482,nominatim,high
SHANGLIPORA,33.95583,74.49961,arcgis,low
SHEIKHPORA KAKUTHAL,33.67274,74.93914,photon,low
TANGDAR,33.7449,75.47298,photon,low
TARTHPORA,,,UNRESOLVED,
TRAL DADSUR,33.9854,75.14711,photon,low
TREHGAM KUP,34.51731,74.17418,photon+arcgis,med
UTTERSOO,33.70776,75.30214,nominatim,high
VAILO,,,UNRESOLVED,
VIA SHALIMAR,34.15078,74.87527,photon+arcgis,med
VIJIPOPRA,34.28118,74.6115,arcgis,low
WASOORA,33.8261,74.9724,arcgis,low
ZACHALDAR,34.40614,74.19919,arcgis,low
ZALOORA,34.38039,74.37519,arcgis,low
ZURHAMA,34.5619,74.17793,arcgis,low
