name,query,reason
90FEET,"90FEET, Srinagar, Jammu and Kashmir, India",no_result
KHAYA,"KHAYA, Srinagar, Jammu and Kashmir, India",no_result
ILLAHIBAGH,"Ilahibagh, Srinagar, Jammu and Kashmir, India",no_result
EXB CROSSING,"EXB CROSSING, Srinagar, Jammu and Kashmir, India",no_result
BONE JOINT HOSPITAL BARZALLA,"BONE JOINT HOSPITAL BARZALLA, Srinagar, Jammu and Kashmir, India",no_result
GADOORA,"GADOORA, Srinagar, Jammu and Kashmir, India",no_result
JEHANGIR CHOWK,"Jehangir Chowk, Srinagar, Jammu and Kashmir, India",no_result
VIA SHALIMAR,"VIA SHALIMAR, Srinagar, Jammu and Kashmir, India",no_result
SCRAPPED,"SCRAPPED, Srinagar, Jammu and Kashmir, India",no_result
MOMINABAD TENGPORA,"MOMINABAD TENGPORA, Srinagar, Jammu and Kashmir, India",no_result
GBS,"GBS, Srinagar, Jammu and Kashmir, India",no_result
LD HOSPITAL,"LD HOSPITAL, Srinagar, Jammu and Kashmir, India",no_result
BAGHAT SHORA,"BAGHAT SHORA, Srinagar, Jammu and Kashmir, India",no_result
CHUNTWALIWAR,"CHUNTWALIWAR, Srinagar, Jammu and Kashmir, India",no_result
BOHRIKADAL,"Bohri Kadal, Srinagar, Jammu and Kashmir, India",no_result
NALLAMAR ROAD,"NALLAMAR ROAD, Srinagar, Jammu and Kashmir, India",no_result
KHUMANI CHOWK,"KHUMANI CHOWK, Srinagar, Jammu and Kashmir, India",no_result
EXCROSSING,"EXCROSSING, Srinagar, Jammu and Kashmir, India",no_result
SAKIDAFAR,"SAKIDAFAR, Srinagar, Jammu and Kashmir, India",no_result
EASTERN AREA OF SRINAGAR CITY,"EASTERN AREA OF SRINAGAR CITY, Srinagar, Jammu and Kashmir, India",no_result
SCRAPED,"SCRAPED, Srinagar, Jammu and Kashmir, India",no_result
90FEET,"90FEET, Srinagar, Jammu and Kashmir, India",no_result
KHAYA,"KHAYA, Srinagar, Jammu and Kashmir, India",no_result
ILLAHIBAGH,"Ilahibagh, Srinagar, Jammu and Kashmir, India",no_result
EXB CROSSING,"EXB CROSSING, Srinagar, Jammu and Kashmir, India",no_result
BONE JOINT HOSPITAL BARZALLA,"BONE JOINT HOSPITAL BARZALLA, Srinagar, Jammu and Kashmir, India",no_result
GADOORA,"GADOORA, Srinagar, Jammu and Kashmir, India",no_result
JEHANGIR CHOWK,"Jehangir Chowk, Srinagar, Jammu and Kashmir, India",no_result
VIA SHALIMAR,"VIA SHALIMAR, Srinagar, Jammu and Kashmir, India",no_result
SCRAPPED,"SCRAPPED, Srinagar, Jammu and Kashmir, India",no_result
MOMINABAD TENGPORA,"MOMINABAD TENGPORA, Srinagar, Jammu and Kashmir, India",no_result
GBS,"GBS, Srinagar, Jammu and Kashmir, India",no_result
LD HOSPITAL,"LD HOSPITAL, Srinagar, Jammu and Kashmir, India",no_result
BAGHAT SHORA,"BAGHAT SHORA, Srinagar, Jammu and Kashmir, India",no_result
CHUNTWALIWAR,"CHUNTWALIWAR, Srinagar, Jammu and Kashmir, India",no_result
BOHRIKADAL,"Bohri Kadal, Srinagar, Jammu and Kashmir, India",no_result
NALLAMAR ROAD,"NALLAMAR ROAD, Srinagar, Jammu and Kashmir, India",no_result
KHUMANI CHOWK,"KHUMANI CHOWK, Srinagar, Jammu and Kashmir, India",no_result
EXCROSSING,"EXCROSSING, Srinagar, Jammu and Kashmir, India",no_result
SAKIDAFAR,"SAKIDAFAR, Srinagar, Jammu and Kashmir, India",no_result
EASTERN AREA OF SRINAGAR CITY,"EASTERN AREA OF SRINAGAR CITY, Srinagar, Jammu and Kashmir, India",no_result
SCRAPED,"SCRAPED, Srinagar, Jammu and Kashmir, India",no_result
