Name,Category,Importance,Latitude,Longitude,City/Town
CSIR-Indian Institute of Integrative Medicine,Higher Education,High,34.0330134,74.7993337,Greater Kashmir Region
amar singh college,Higher Education,High,34.0597975,74.8097741,Greater Kashmir Region
University of Kashmir (South Campus),Higher Education,High,33.7271207,75.1672013,Greater Kashmir Region
"Govt High School, Diver",Higher Education,High,34.4555874,74.4495512,Greater Kashmir Region
"Government degree college, Ganderbal",Higher Education,High,34.2092872,74.7694434,Greater Kashmir Region
Kite polytechnic,Higher Education,High,34.0027131,74.7848859,Budgam
"Government degree college, Bemina",Higher Education,High,34.079679,74.7780504,Greater Kashmir Region
SKIMS Medical College,Higher Education,High,34.0874977,74.7603226,Greater Kashmir Region
Government medical college anantnag,Higher Education,High,33.6685982,75.1709518,Greater Kashmir Region
Government Medical College (GMC) Baramulla,Higher Education,High,34.2041238,74.3649602,Greater Kashmir Region
National Institute of Fashion Technology (NIFT),Higher Education,High,33.9994241,74.792002,"Rangreth, Budgam"
Cluster University Srinagar,Higher Education,High,34.0617973,74.8072269,Greater Kashmir Region
NIELIT Srinagar,Higher Education,High,33.9963669,74.7906205,Greater Kashmir Region
Bibi Halima College of Nursing and Medical Technology,Higher Education,High,34.0866804,74.7960149,Greater Kashmir Region
"Government Medical College, Anantnag",Higher Education,High,33.7238425,75.1526959,Greater Kashmir Region
Government Degree CollegeFor Women Zakura,Higher Education,High,34.1554852,74.84116,Greater Kashmir Region
Zain-Ul-Abedin Budshah Gate University of Kashmir,Higher Education,High,34.1378846,74.8397908,Greater Kashmir Region
University of Kashmir Zakura Campus,Higher Education,High,34.148191,74.8334752,Greater Kashmir Region
Maulana Rumi Gate University of Kashmir,Higher Education,High,34.1317773,74.8410874,Srinagar
University of Kashmir Sir Syed Gate,Higher Education,High,34.1278044,74.836567,Greater Kashmir Region
Govt. Degree College Hyderpora,Higher Education,High,34.0380288,74.7887283,Greater Kashmir Region
"Govt. Polytechnic , IUST",Higher Education,High,33.9089827,75.0179977,Greater Kashmir Region
GDC Bandipora,Higher Education,High,34.4244966,74.5905892,Greater Kashmir Region
Degree College Gurez,Higher Education,High,34.6339177,74.816197,Greater Kashmir Region
Islamia Oriental College,Higher Education,High,33.9298464,75.1155099,Greater Kashmir Region
شری پرتاپ کالج,Higher Education,High,34.0741446,74.8164733,Greater Kashmir Region
Indian Institute of Management (IIM) Jammu Srinagar Campus,Higher Education,High,34.0298635,74.8322251,Greater Kashmir Region
"Govt. ITI, Tral",Higher Education,High,33.9474838,75.1401744,Greater Kashmir Region
"Govt. Degree College, Tral",Higher Education,High,33.944996,75.1319864,Greater Kashmir Region
S.M. Iqbal Business School,Higher Education,High,34.0031723,74.7809321,Greater Kashmir Region
Green Valley College of Education,Higher Education,High,33.9602892,74.9757971,Greater Kashmir Region
Ramazan College of Education,Higher Education,High,34.0239463,74.8200211,Srinagar
Masterpro Institute Of Technology,Higher Education,High,34.0293971,74.840136,Srinagar
Skylark Institute of Paramedical Sciences,Higher Education,High,33.8892957,74.8964318,Greater Kashmir Region
"Govt. Degree College Boys, Pulwama",Higher Education,High,33.8863673,74.8972228,Greater Kashmir Region
Govt Degree College Magam,Higher Education,High,34.0962557,74.5840969,Greater Kashmir Region
NATIONAL INSTITUTE OF EDUCATION AND TECHNOLOGY,Higher Education,High,34.0759513,74.5847663,Greater Kashmir Region
"Noorani Paramedical College, Dangerpora Pulwama",Higher Education,High,33.8716789,74.9165759,Pulwama
Govt. Degree College for Women Baramulla,Higher Education,High,34.2054659,74.3441269,Greater Kashmir Region
Kidney College of Nursing,Higher Education,High,34.1724783,74.8210268,Greater Kashmir Region
SET Paramedical College,Higher Education,High,33.7751188,75.1072064,Greater Kashmir Region
erc eye care,Major Hospital,High,34.0846701,74.7956011,Greater Kashmir Region
sub dist hospi tal khansahib,Major Hospital,High,33.9431534,74.7065201,Greater Kashmir Region
Government Sub District Hospital,Major Hospital,High,33.9435165,74.7998147,Greater Kashmir Region
primary health center,Major Hospital,High,33.8642746,75.2786722,Greater Kashmir Region
Govt. Unani Hospital,Major Hospital,High,34.1095686,74.7495608,Greater Kashmir Region
Govt. GB Pant Childrens Hospital,Major Hospital,High,34.0687752,74.8435238,Greater Kashmir Region
Sub-District Hospital Nehama,Major Hospital,High,33.6361671,74.8916369,Greater Kashmir Region
Bone and Joint Hospital,Major Hospital,High,34.0485234,74.804566,Greater Kashmir Region
Casualty,Major Hospital,High,34.0478706,74.8057865,Greater Kashmir Region
Disst Hospital Doda,Major Hospital,High,33.1427505,75.5503178,Doda
District Hospital,Major Hospital,High,33.1443798,75.5436511,Greater Kashmir Region
St. Joseph's Hospital,Major Hospital,High,34.2036558,74.3520623,Greater Kashmir Region
Altaf Nursing Home,Major Hospital,High,34.2066948,74.341186,Greater Kashmir Region
"Florence Hospital, Srinagar",Major Hospital,High,34.0388535,74.8090303,Greater Kashmir Region
Hakim Sana Ullah Specialist Hospital and Cancer Center,Major Hospital,High,34.2794977,74.4317293,Greater Kashmir Region
Al-Aziz Hospital,Major Hospital,High,34.0835723,74.8207194,Greater Kashmir Region
The New City Hospital,Major Hospital,High,34.0612131,74.7842541,Greater Kashmir Region
Sheikh Ul Alam Hospital,Major Hospital,High,34.0805621,74.8014919,Greater Kashmir Region
Mubarak Hospital,Major Hospital,High,34.0401871,74.7890988,Greater Kashmir Region
Ahmed Hospital and Nursing Homes,Major Hospital,High,34.0263103,74.8202875,Srinagar
Ramzan Hospital,Major Hospital,High,34.0611159,74.8098242,Greater Kashmir Region
Jhon Bishop Memorial Hospital,Major Hospital,High,33.7344325,75.1657507,Greater Kashmir Region
Sopore Sub District Hospital,Major Hospital,High,34.2929452,74.4550203,Greater Kashmir Region
Tahira Khanams Hospital and Nursing Home,Major Hospital,High,34.0675073,74.8027821,Greater Kashmir Region
Bone and Joint Hospital,Major Hospital,High,34.0473558,74.8061804,Greater Kashmir Region
G.B. Panth Children Hospital,Major Hospital,High,34.0688716,74.8439607,Srinagar
Classic Hospital and Diagnostic Center,Major Hospital,High,34.0454156,74.7891699,Greater Kashmir Region
"District Hospital, Ganderbal",Major Hospital,High,34.2099313,74.7769273,Greater Kashmir Region
"Government Hospital, Shahgund Sonawari",Major Hospital,High,34.2784884,74.5674335,Greater Kashmir Region
Konibal,Major Hospital,High,34.0132876,74.9491845,Greater Kashmir Region
"Sub District Hospital, Qaimoh",Major Hospital,High,33.7189169,75.0838327,Greater Kashmir Region
"Sub-District hospital, Kremshore",Major Hospital,High,33.9568415,74.7197049,Greater Kashmir Region
"Sub District hospital, Khansahib",Major Hospital,High,33.9329115,74.6611415,Greater Kashmir Region
"Sub District hospital, Dawar",Major Hospital,High,34.6336787,74.8299983,Greater Kashmir Region
TARIGAM,Major Hospital,High,33.709115,75.034779,Greater Kashmir Region
"Sub District Hospital, Damhal Hanji Pora",Major Hospital,High,33.6105784,74.9229502,Greater Kashmir Region
"Sub District hospital, Pattan",Major Hospital,High,34.1596681,74.5546264,Greater Kashmir Region
"District hospital, Beerwah",Major Hospital,High,34.017336,74.5888907,Greater Kashmir Region
"Sub District Hospital, Tral",Major Hospital,High,33.9247372,75.1206691,Greater Kashmir Region
"Government Pediatric Hospital, Sopore",Major Hospital,High,34.2850498,74.4639353,Greater Kashmir Region
District Hospital Pulwama,Major Hospital,High,33.87836,74.899965,Greater Kashmir Region
Pinjura Primary hospital,Major Hospital,High,33.7325215,74.8566705,Greater Kashmir Region
"Sub-District hospital, Chadoora",Major Hospital,High,33.9428477,74.7993976,Greater Kashmir Region
"Sub District hospital, Shangus",Major Hospital,High,33.6982602,75.2867092,Greater Kashmir Region
Kupwara District Hospital,Major Hospital,High,34.5295609,74.256972,Greater Kashmir Region
Government Maternity Hospital,Major Hospital,High,34.2639199,74.7952302,Greater Kashmir Region
North Kashmir Nursing Home & Hospital,Major Hospital,High,34.4071818,74.2918058,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,34.0632306,74.4265609,Greater Kashmir Region
