from,to,vehicle,reason
Srinagar,Shanglipora,MPS Bus,ungeocoded: destination 'SHANGLIPORA'
Srinagar,Isganderpora,MPS Bus,ungeocoded: destination 'ISGANDERPORA'
Srinagar,Aboora,MPS Bus,ungeocoded: destination 'ABOORA'
Srinagar,Arizal,MPS Bus,ungeocoded: destination 'ARIZAL'
Srinagar,Baderkote,MPS Bus,ungeocoded: destination 'BADERKOTE'
Srinagar,Loolpora,MPS Bus,ungeocoded: destination 'LOOLPORA'
Srinagar,Beeru,MPS Bus,ungeocoded: destination 'BEERU'
Srinagar,Dardpora,MPS Bus,ungeocoded: destination 'DARDPORA'
Srinagar,Gaguldara,MPS Bus,ungeocoded: destination 'GAGULDARA'
Srinagar,Ratsun,MPS Bus,ungeocoded: destination 'RATSUN'
Srinagar,Khag,MPS Bus,ungeocoded: destination 'KHAG'
Srinagar,Karhama,MPS Bus,ungeocoded: destination 'KARHAMA'
Srinagar,Chewdara,MPS Bus,ungeocoded: destination 'CHEWDARA'
Srinagar,Badrun,MPS Bus,ungeocoded: destination 'BADRUN'
Srinagar,Khoor,MPS Bus,ungeocoded: destination 'KHOOR'
Srinagar,Sheikhpora Kakuthal,MPS Bus,ungeocoded: destination 'SHEIKHPORA KAKUTHAL'
Srinagar,Trehgam Kup,MPS Bus,ungeocoded: destination 'TREHGAM KUP'
Srinagar,Milyaal,MPS Bus,ungeocoded: destination 'MILYAAL'
Srinagar,Zurhama,MPS Bus,ungeocoded: destination 'ZURHAMA'
Srinagar,Tarthpora,MPS Bus,ungeocoded: destination 'TARTHPORA'
Srinagar,Gazriyal,MPS Bus,ungeocoded: destination 'GAZRIYAL'
Srinagar,Safapora Sumbal,MPS Bus,ungeocoded: destination 'SAFAPORA SUMBAL'
Srinagar,Safapora Gbl,MPS Bus,ungeocoded: destination 'SAFAPORA GBL'
Srinagar,Narwara Budgam,MPS Bus,ungeocoded: destination 'NARWARA BUDGAM'
Srinagar,Charishreef,MPS Bus,ungeocoded: destination 'CHARISHREEF'
Srinagar,Pakherpora,MPS Bus,ungeocoded: destination 'PAKHERPORA'
Srinagar,Tral Dadsur,MPS Bus,ungeocoded: destination 'TRAL DADSUR'
Srinagar,Pasthoon,MPS Bus,ungeocoded: destination 'PASTHOON'
Srinagar,Naristan,MPS Bus,ungeocoded: destination 'NARISTAN'
Srinagar,Pinglish,MPS Bus,ungeocoded: destination 'PINGLISH'
Srinagar,Mirpora Budgam,MPS Bus,ungeocoded: destination 'MIRPORA BUDGAM'
Srinagar,Vijipopra,MPS Bus,ungeocoded: destination 'VIJIPOPRA'
Srinagar,Kupwara Day,MPS Bus,ungeocoded: destination 'KUPWARA DAY'
Srinagar,Tangdar,MPS Bus,ungeocoded: destination 'TANGDAR'
Srinagar,Zachaldar,MPS Bus,ungeocoded: destination 'ZACHALDAR'
Srinagar,BanKoot-Sgr,Regular Bus,ungeocoded: origin 'BANKOOT'
Srinagar,Arin- Srinagar,Regular Bus,ungeocoded: origin 'ARIN'
Malangam,Srinagar,Regular Bus,ungeocoded: origin 'MALANGAM'
Srinagar,Zaloora-Sgr,Regular Bus,ungeocoded: origin 'ZALOORA'
Srinagar,Botingue- Sgr,Regular Bus,ungeocoded: origin 'BOTINGUE'
KamalKote,Baramulla,Regular Bus,ungeocoded: origin 'KAMALKOTE'
Garkote,Baramulla,Regular Bus,ungeocoded: origin 'GARKOTE'
Nambia,Baramulla,Regular Bus,ungeocoded: origin 'NAMBIA'
Fathgath,Sgr,Regular Bus,ungeocoded: origin 'FATHGATH'
Pehilpora,Uri,Regular Bus,ungeocoded: origin 'PEHILPORA'
Srinagar,Kachoo- Baramulla,Regular Bus,ungeocoded: origin 'KACHOO'
Maidanan,Srinagar,Regular Bus,ungeocoded: origin 'MAIDANAN'
Ijara,Srinagar,Regular Bus,ungeocoded: origin 'IJARA'
