Route_ID,Route_Name,Disposition,Reason
R0001,Soura to LD,KEPT,RETAINED_AS_FEEDER
R0002,Parimpora to Budgam,KEPT,RETAINED_AS_FEEDER
R0003,Parimpora to Budgam,KEPT,MERGED_INTO_TRUNK
R0004,Parimpora to Budgam,KEPT,MERGED_INTO_TRUNK
R0005,Parimpora to Budgam,KEPT,MERGED_INTO_TRUNK
R0006,Parimpora to Hazratbal,KEPT,RETAINED_AS_FEEDER
R0007,Parimpora to Chadora,KEPT,RETAINED_AS_FEEDER
R0008,Lawaypora to Jehangir Chowk,KEPT,RETAINED_AS_FEEDER
R0009,Parimpora to Chadora,KEPT,MERGED_INTO_TRUNK
R0010,Lalbazar to LD,KEPT,RETAINED_AS_FEEDER
R0011,Soura to Gadoora,KEPT,RETAINED_AS_FEEDER
R0012,Soura to Ganderbal,KEPT,RETAINED_AS_FEEDER
R0013,Soura to Ganderbal,KEPT,MERGED_INTO_TRUNK
R0014,Lalbazar to Lalchowk,KEPT,RETAINED_AS_FEEDER
R0015,Jehangir Chowk to Soura,KEPT,RETAINED_AS_FEEDER
R0016,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0017,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0018,Soura to Hazratbal,KEPT,UPGRADED_TO_TRUNK
R0019,TRC to Hazratbal,KEPT,RETAINED_AS_FEEDER
R0020,Hazratbal to LD,KEPT,RETAINED_AS_FEEDER
R0021,Soura to Railway Station,KEPT,RETAINED_AS_FEEDER
R0022,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0023,Malbagh to LD,KEPT,RETAINED_AS_FEEDER
R0024,Jehangir Chowk to JVC,KEPT,RETAINED_AS_FEEDER
R0025,Jehangir Chowk to JVC,KEPT,MERGED_INTO_TRUNK
R0026,Soura to Parimpora,KEPT,RETAINED_AS_FEEDER
R0027,Soura to Hazratbal,KEPT,MERGED_INTO_TRUNK
R0028,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0029,Jehangir Chowk to JVC,KEPT,MERGED_INTO_TRUNK
R0030,Jehangir Chowk to JVC,KEPT,MERGED_INTO_TRUNK
R0031,Jehangir Chowk to Budgam,KEPT,RETAINED_AS_FEEDER
R0032,Parimpora to Saidakadal,KEPT,RETAINED_AS_FEEDER
R0033,Jehangir Chowk to JVC,KEPT,MERGED_INTO_TRUNK
R0034,Sora to Parimpora,KEPT,MERGED_INTO_TRUNK
R0035,Jehangir Chowk to HMT,KEPT,RETAINED_AS_FEEDER
R0036,Parimpora to Pantha Chowk,KEPT,RETAINED_AS_FEEDER
R0037,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0038,Parimpora to Chadora,KEPT,MERGED_INTO_TRUNK
R0039,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0040,Soura to Railway Station,KEPT,MERGED_INTO_TRUNK
R0041,Soura to Hazratbal,KEPT,MERGED_INTO_TRUNK
R0042,Sora to LD,KEPT,MERGED_INTO_TRUNK
R0043,Baghat Shora to Lalchowk,KEPT,RETAINED_AS_FEEDER
R0044,Jehangir Chowk to JVC,KEPT,MERGED_INTO_TRUNK
R0045,Parimpora to Rawalpora,KEPT,RETAINED_AS_FEEDER
R0046,Parimpora to Rawalpora,KEPT,MERGED_INTO_TRUNK
R0047,Parimpora to Rawalpora,KEPT,MERGED_INTO_TRUNK
R0048,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0049,Lalbazar to Qamarwari,KEPT,RETAINED_AS_FEEDER
R0050,Safakadal to SMHS,KEPT,RETAINED_AS_FEEDER
R0051,Narbal to Jehangir Chowk,KEPT,UPGRADED_TO_TRUNK
R0052,Soura to SMHS,KEPT,RETAINED_AS_FEEDER
R0053,Soura to SMHS,KEPT,MERGED_INTO_TRUNK
R0054,Soura to Parimpora,KEPT,MERGED_INTO_TRUNK
R0055,Parimpora to Saidakadal,KEPT,MERGED_INTO_TRUNK
R0056,Soura to Qamarwari,KEPT,RETAINED_AS_FEEDER
R0057,Soura to SMHS,KEPT,MERGED_INTO_TRUNK
R0058,Safakadal to Jehangir Chowk,KEPT,RETAINED_AS_FEEDER
R0059,Safakadal to Jehangir Chowk,KEPT,MERGED_INTO_TRUNK
R0060,Qamarwari to Pathachowk,KEPT,RETAINED_AS_FEEDER
R0061,Safakadal to Jehangir Chowk,KEPT,MERGED_INTO_TRUNK
R0062,Soura to LD,KEPT,MERGED_INTO_TRUNK
R0063,Safakadal to Jehangir Chowk,KEPT,MERGED_INTO_TRUNK
R0064,Lalbazar to LD,KEPT,MERGED_INTO_TRUNK
R0065,Qamarwari to Dalgate,KEPT,RETAINED_AS_FEEDER
R0066,Hazratbal to LD,KEPT,MERGED_INTO_TRUNK
R0067,Hazratbal to LD,KEPT,MERGED_INTO_TRUNK
R0068,Qamarwari to Dalgate,KEPT,MERGED_INTO_TRUNK
R0069,Safakadal to SMHS,KEPT,MERGED_INTO_TRUNK
R0070,Saidakadal to Parimpora,KEPT,RETAINED_AS_FEEDER
R0071,Safakadal to SMHS,KEPT,MERGED_INTO_TRUNK
R0072,Safakadal to SMHS,KEPT,MERGED_INTO_TRUNK
R0073,Safakadal to SMHS,KEPT,MERGED_INTO_TRUNK
R0074,Lalbazar to Parimpora,KEPT,RETAINED_AS_FEEDER
R0075,Parimpora to Rawalpora,KEPT,MERGED_INTO_TRUNK
R0076,Parimpora to Hazratbal,KEPT,MERGED_INTO_TRUNK
R0077,Jehangir Chowk to HMT,KEPT,MERGED_INTO_TRUNK
R0078,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0079,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0080,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0081,Parimpora to Chadora,KEPT,MERGED_INTO_TRUNK
R0082,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0083,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0084,Qamarwari to Hazratbal,KEPT,RETAINED_AS_FEEDER
R0085,Soura to Jehangir Chowk,KEPT,RETAINED_AS_FEEDER
R0086,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0087,HMT to Jehangir Chowk,KEPT,RETAINED_AS_FEEDER
R0088,Lalbazar to Parimpora,KEPT,MERGED_INTO_TRUNK
R0089,Parimpora to Rangrath,KEPT,RETAINED_AS_FEEDER
R0090,Saidakadal to Bypass,KEPT,RETAINED_AS_FEEDER
R0091,Saidakadal to Bypass,KEPT,MERGED_INTO_TRUNK
R0092,HMT to Jehangir Chowk,KEPT,MERGED_INTO_TRUNK
R0093,Jehangir Chowk to HMT,KEPT,MERGED_INTO_TRUNK
R0094,Jehangir Chowk to HMT,KEPT,MERGED_INTO_TRUNK
R0095,Parimpora to Rangrath,KEPT,MERGED_INTO_TRUNK
R0096,Parimpora to Rangrath,KEPT,MERGED_INTO_TRUNK
