Route_ID,Route_Name,Haversine_KM,Origin_At_Srinagar_Centroid,Dest_At_Srinagar_Centroid,Zero_Length
R0001,SOURA ↔ LD,6.196,False,False,False
R0002,PARIMPORA ↔ BUDGAM,15.195,False,False,False
R0003,PARIMPORA ↔ BUDGAM,15.195,False,False,False
R0004,PARIMPORA ↔ BUDGAM,15.195,False,False,False
R0005,PARIMPORA ↔ BUDGAM,15.195,False,False,False
R0006,PARIMPORA ↔ HAZRATBAL,8.31,False,False,False
R0007,PARIMPORA ↔ CHADORA,19.21,False,False,False
R0008,LAWAYPORA ↔ JEHANGIR CHOWK,11.01,False,False,False
R0009,PARIMPORA ↔ CHADORA,19.21,False,False,False
R0010,LALBAZAR ↔ LD,4.937,False,False,False
R0011,SOURA ↔ GADOORA,4.518,False,False,False
R0012,SOURA ↔ GANDERBAL,6.784,False,False,False
R0013,SOURA ↔ GANDERBAL,6.784,False,False,False
R0014,LALBAZAR ↔ LALCHOWK,6.072,False,False,False
R0015,JEHANGIR CHOWK ↔ SOURA,7.337,False,False,False
R0016,SOURA ↔ LD,6.196,False,False,False
R0017,SOURA ↔ LD,6.196,False,False,False
R0018,SOURA ↔ HAZRATBAL,3.307,False,False,False
R0019,TRC ↔ HAZRATBAL,5.926,False,False,False
R0020,HAZRATBAL ↔ LD,5.707,False,False,False
R0021,SOURA ↔ RAILWAY STATION,13.343,False,False,False
R0022,SOURA ↔ LD,6.196,False,False,False
R0023,MALBAGH ↔ LD,7.151,False,False,False
R0024,JEHANGIR CHOWK ↔ JVC,4.223,False,False,False
R0025,JEHANGIR CHOWK ↔ JVC,4.223,False,False,False
R0026,SOURA ↔ PARIMPORA,5.834,False,False,False
R0027,SOURA ↔ HAZRATBAL,3.307,False,False,False
R0028,SOURA ↔ LD,6.196,False,False,False
R0029,JEHANGIR CHOWK ↔ JVC,4.223,False,False,False
R0030,JEHANGIR CHOWK ↔ JVC,4.223,False,False,False
R0031,JEHANGIR CHOWK ↔ BUDGAM,16.707,False,False,False
R0032,PARIMPORA ↔ SAIDAKADAL,7.394,False,False,False
R0033,JEHANGIR CHOWK ↔ JVC,4.223,False,False,False
R0034,SORA ↔ PARIMPORA,5.834,False,False,False
R0035,JEHANGIR CHOWK ↔ HMT,6.698,False,False,False
R0036,PARIMPORA ↔ PANTHA CHOWK,17.233,False,False,False
R0037,SOURA ↔ LD,6.196,False,False,False
R0038,PARIMPORA ↔ CHADORA,19.21,False,False,False
R0039,SOURA ↔ LD,6.196,False,False,False
R0040,SOURA ↔ RAILWAY STATION,13.343,False,False,False
R0041,SOURA ↔ HAZRATBAL,3.307,False,False,False
R0042,SORA ↔ LD,6.196,False,False,False
R0043,BAGHAT SHORA ↔ LALCHOWK,3.339,False,False,False
R0044,JEHANGIR CHOWK ↔ JVC,4.223,False,False,False
R0045,PARIMPORA ↔ RAWALPORA,11.251,False,False,False
R0046,PARIMPORA ↔ RAWALPORA,11.251,False,False,False
R0047,PARIMPORA ↔ RAWALPORA,11.251,False,False,False
R0048,SOURA ↔ LD,6.196,False,False,False
R0049,LALBAZAR ↔ QAMARWARI,5.792,False,False,False
R0050,SAFAKADAL ↔ SMHS,0.958,False,False,True
R0051,NARBAL ↔ JEHANGIR CHOWK,13.935,False,False,False
R0052,SOURA ↔ SMHS,5.708,False,False,False
R0053,SOURA ↔ SMHS,5.708,False,False,False
R0054,SOURA ↔ PARIMPORA,5.834,False,False,False
R0055,PARIMPORA ↔ SAIDAKADAL,7.394,False,False,False
R0056,SOURA ↔ QAMARWARI,5.79,False,False,False
R0057,SOURA ↔ SMHS,5.708,False,False,False
R0058,SAFAKADAL ↔ JEHANGIR CHOWK,2.666,False,False,False
R0059,SAFAKADAL ↔ JEHANGIR CHOWK,2.666,False,False,False
R0060,QAMARWARI ↔ PATHACHOWK,14.797,False,False,False
R0061,SAFAKADAL ↔ JEHANGIR CHOWK,2.666,False,False,False
R0062,SOURA ↔ LD,6.196,False,False,False
R0063,SAFAKADAL ↔ JEHANGIR CHOWK,2.666,False,False,False
R0064,LALBAZAR ↔ LD,4.937,False,False,False
R0065,QAMARWARI ↔ DALGATE,5.751,False,False,False
R0066,HAZRATBAL ↔ LD,5.707,False,False,False
R0067,HAZRATBAL ↔ LD,5.707,False,False,False
R0068,QAMARWARI ↔ DALGATE,5.751,False,False,False
R0069,SAFAKADAL ↔ SMHS,0.958,False,False,True
R0070,SAIDAKADAL ↔ PARIMPORA,7.394,False,False,False
R0071,SAFAKADAL ↔ SMHS,0.958,False,False,True
R0072,SAFAKADAL ↔ SMHS,0.958,False,False,True
R0073,SAFAKADAL ↔ SMHS,0.958,False,False,True
R0074,LALBAZAR ↔ PARIMPORA,6.628,False,False,False
R0075,PARIMPORA ↔ RAWALPORA,11.251,False,False,False
R0076,PARIMPORA ↔ HAZRATBAL,8.31,False,False,False
R0077,JEHANGIR CHOWK ↔ HMT,6.698,False,False,False
R0078,LALBAZAR ↔ PARIMPORA,6.628,False,False,False
R0079,LALBAZAR ↔ PARIMPORA,6.628,False,False,False
R0080,LALBAZAR ↔ PARIMPORA,6.628,False,False,False
R0081,PARIMPORA ↔ CHADORA,19.21,False,False,False
R0082,LALBAZAR ↔ PARIMPORA,6.628,False,False,False
R0083,LALBAZAR ↔ PARIMPORA,6.628,False,False,False
R0084,QAMARWARI ↔ HAZRATBAL,7.311,False,False,False
