"Route_Code","Route_Name","Verdict","Category","Eng_Type","Eng_KM","Real_KM_mid","KM_Delta","Real_RoadKM_raw","Eng_O","Eng_D","Finding","Sources","osrm_km","osrm_min","repro_eng","osrm_matches_real","root","osrm_km","osrm_min","repro_eng","osrm_matches_real","root"
"ANSP01010106","Anantnagh to Shopian","REVIEW","OVER_OSRM","Regional_District","43.843","37.0","18","34-40","33.74535,75.186081","33.719229,74.833266","Real driving distance is ~34 km direct (distancebetween2) up to ~40 km via Zainapora; engine 43.8 km is ~18% high. Recommend trimming Route_KM toward ~37-40 km.","distancebetween2.com, distancesfrom.com, jksrtc.co.in","43.8","37.7","True","True","STALE_RERUN_FIXES","43.8","37.7","True","True","STALE_RERUN_FIXES"
"SRGB02020503","Batamaloo to Manigam","REVIEW","OVER_OSRM","Regional_District","54.466","35.5","53","31-40","34.068715,74.779627","34.231314,74.953744","Direct Srinagar/Batamaloo to Manigam is only ~31-40 km (Manigam ~31 km from Srinagar centre via Ganderbal), yet engine models 54.5 km with no ""via"" leg in the name. Either add the via-Hazratbal alignment to the name or cut Route_KM to ~35-40 km.","distancesfrom.com (Ganderbal-Manigam 10 km), distancebetween2.com (Srinagar-Ganderbal 21 km), onefivenine.com","54.5","54.8","True","False","COORD_OR_DETOUR","54.5","54.8","True","False","COORD_OR_DETOUR"
"SPSR01020139","Harman to Srinagar","REVIEW","OTHER_MINOR","Regional_District","48.805","54.0","-10","48-60","33.717153,74.831268","34.07457,74.820502","Harman = Herman"," a real Shopian tehsil ~8.7km SW of Shopian town. Engine pinned it to Shopian town coords (~50km) rather than Herman proper (~59-60km from Srinagar). Distance to the placed point is fine; the endpoint is the district-town approximation. Re-pin to actual Herman if precise terminal needed.","48.8","40.3","True","True","STALE_RERUN_FIXES","48.8","40.3","True","True","STALE_RERUN_FIXES"
"SRBG02022003","Jehangir Chowk to Budgam","REVIEW","OVER_OSRM","Regional_District","45.581","11.5","296","10-13","34.071881,74.804719","34.006185,74.641626","Straight-line is only 16.7km but engine road=45.6km (circuity 2.73x); real Srinagar/Jehangir Chowk to Budgam is ~10-13km by road. Engine over-modeled the corridor ~4x - likely a routing detour artifact. Fix Route_KM to ~11-13km; cycle/fleet should drop accordingly.","yatra.com budgam-to-srinagar (9km), mapsofindia.com budgam-to-srinagar, haversine 16.7km","23.2","28.0","False","False","OTHER","23.2","28.0","False","False","OTHER"
"KGSR03020239A","Khull Ahmadabad to Srinagar","REVIEW","OTHER_MINOR","Regional_District","66.828","69.5","-4","67-72","33.645205,75.018914","34.07457,74.820502","Khull is a real Kulgam Nayabat (pin 192233); engine pinned ""Khull Ahmadabad"" to Kulgam town coords (the A/B suffix pairs it with the Kulgam route on the same point). Distance fine vs Kulgam-Srinagar ~69km; endpoint is a known district-centre approximation, not the actual Khull/Ahmadabad locality. Re-pin if precise terminal required.","indiatvnews.com pincode/kulgam/khull, mindat.org Khul Kulgam, kulgam.nic.in (Khull Nayabat)","66.8","51.1","True","True","STALE_RERUN_FIXES","66.8","51.1","True","True","STALE_RERUN_FIXES"
"KWSR03020339","Kupwara to Srinagar","REVIEW","OVER_OSRM","Regional_District","102.958","88.0","17","86-90","34.603824,74.23032","34.07457,74.820502","Real Kupwara-Srinagar driving distance is ~86.7km (tourtravelworld/distancebetween2); engine 103km is +19% over. Likely routes via a longer Handwara/Sopore detour rather than the direct line. Corridor and service real (SRTC runs it). Recommend trimming Route_KM toward ~88-90km; fleet of 9 then eases.","tourtravelworld.com srinagar-to-kupwara, distancebetween2.com/srinagar/kupwara, kupwara.nic.in, jksrtc.co.in","103.0","100.0","True","True","STALE_RERUN_FIXES","103.0","100.0","True","True","STALE_RERUN_FIXES"
"SRBP02012703","Pantha Chowk to Safapora","REVIEW","OVER_OSRM","Regional_District","60.631","38.0","60","36-40","34.044708,74.833526","34.376895,74.718101","Safapora is officially 30 km from Srinagar (via Sumbal or Ganderbal); adding ~7-8 km for the Pantha Chowk origin gives ~38 km real, yet engine models 60.6 km (+59%). Inflated/indirect routing - recommend re-check the OSRM path, should be ~38-40 km.","en.wikipedia.org/wiki/Safapora, distancebetween2.com, ganderbal.nic.in","60.6","68.1","True","False","COORD_OR_DETOUR","60.6","68.1","True","False","COORD_OR_DETOUR"
"SPSR01020539","Sedow to Srinagar","REVIEW","OVER_OSRM","Regional_District","57.772","46.0","26","46","33.664237,74.784877","34.07457,74.820502","Sedow is officially 46 km from Srinagar (shopian.nic.in / icbse); engine models 57.8 km (+26%). Endpoint correct but distance over-modelled - recommend re-check OSRM path, target ~46-50 km.","shopian.nic.in, geolysis.com, icbse.com","57.8","49.1","True","False","COORD_OR_DETOUR","57.8","49.1","True","False","COORD_OR_DETOUR"
"SRBR02073901","Srinagar to Aboora","REVIEW","OTHER_MINOR","Regional_District","32.753","33.5","-2","30-37","34.07457,74.820502","34.056918,74.536834","Could not verify a village named 'Aboora'; coords place it in the Beerwah area of Budgam where towns are 27-35 km from Srinagar, so 32.8 km is in band. Recommend confirming exact stop name/spelling against the permit register.","en.wikipedia.org/wiki/Beerwah,_Jammu_and_Kashmir, mapsofindia.com, onefivenine.com","32.8","31.7","True","True","STALE_RERUN_FIXES","32.8","31.7","True","True","STALE_RERUN_FIXES"
"SRBR02073902","Srinagar to Baderkote","REVIEW","OTHER_MINOR","Regional_District","42.864","40.0","7","35-45","34.07457,74.820502","34.041835,74.459012","Could not verify a village named 'Baderkote'; coords place it west of Beerwah in Budgam where towns are ~27-45 km from Srinagar, so 42.9 km is in band. Tourist flag set. Recommend confirming exact stop name/spelling against the permit register.","en.wikipedia.org/wiki/Beerwah,_Jammu_and_Kashmir, mapsofindia.com, budgam.nic.in","42.9","42.2","True","True","STALE_RERUN_FIXES","42.9","42.2","True","True","STALE_RERUN_FIXES"
