S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12373.0,SRINAGAR RTO,JK01AA3048,06-Aug-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,06-May-90,06-May-23,05-May-28,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Hazratbal,Qamarwari,Ordinary Service,2015-2016,1990-1991,DIESEL,,
12378.0,SRINAGAR RTO,JK01AA7014,30-Sep-15,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,01-Mar-16,02-Jan-25,01-Jan-30,GANDERBAL DISTRICT ONLY,,SOURA,GADOORA,GANDERBAL,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12379.0,SRINAGAR RTO,JK01AA7020,30-Sep-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-Jan-16,02-Jan-20,01-Jan-25,,,SOURA,GANDERBAL,BUCHPORA,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12380.0,SRINAGAR RTO,JK01AA8267,15-Oct-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-Jan-16,02-Jan-20,01-Jan-25,,,SOURA,GANDERBAL,BUCHPORA,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12383.0,SRINAGAR RTO,JK01AB4797,03-Mar-16,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,06-Jul-98,06-Jul-20,05-Jul-25,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Soura,Eid Gah,Ordinary Service,2015-2016,1998-1999,DIESEL,,
12388.0,SRINAGAR RTO,JK01AB8023,03-May-16,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,21-Aug-98,29-May-23,28-May-28,,,TRC,HAZRATBAL,"KHAYAM,KHANYAR,RAINAWARI,SAIDA KADAL,DALGATE",Ordinary Service,2016-2017,1998-1999,DIESEL,,
12398.0,SRINAGAR RTO,JK01AD8717,18-May-17,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,22-Sep-07,22-Sep-23,21-Sep-28,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Railway Station,Dalgate,,2017-2018,2007-2008,DIESEL,,
12400.0,SRINAGAR RTO,JK01AE1787,21-Jun-17,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,12-Apr-97,12-Apr-24,11-Apr-29,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Lalchowk,,2017-2018,1997-1998,DIESEL,,
12401.0,SRINAGAR RTO,JK01AH8787,22-Aug-17,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Sep-25,09-Sep-25,08-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Malbagh,LD,Illahibagh,Ordinary Service,2017-2018,2025-2026,DIESEL,,
12405.0,SRINAGAR RTO,JK01AM1717,15-Jun-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Batamallo,,2024-2025,2024-2025,DIESEL,,
