Location,Latitude,Longitude
0,34.08565,74.80555
1 NO,34.08565,74.80555
1 NO SUA,34.08565,74.80555
15KM,34.08565,74.80555
4 NO FACTORY,34.08565,74.80555
4TH BRIDGE,34.08565,74.80555
4TH BRIDGE BELI CHARANA,34.08565,74.80555
90FEET,34.08565,74.80555
A,34.08565,74.80555
A G OFFICE,34.08565,74.80555
AA,34.08565,74.80555
AARA TOURI,34.08565,74.80555
AARI PATHAR,34.08565,74.80555
ABDAL,12.940212624585,77.556899738292
ABDULIAN,34.08565,74.80555
ABDULLAH BRIDGE,34.08565,74.80555
ABDULLIAN,34.08565,74.80555
ABOORA,34.08565,74.80555
ABTAL,34.08565,74.80555
ACHGUZE,34.08565,74.80555
ADARSH VILLAGE SANGWALI,34.08565,74.80555
ADHAT,34.08565,74.80555
AFANI PADDER,34.08565,74.80555
AFTAAR MORH,34.08565,74.80555
AFTAR MORH,34.08565,74.80555
AGAR JITTO,34.08565,74.80555
AGHAR JITTO,34.08565,74.80555
AGHORE,34.08565,74.80555
AGLI DHAR,34.08565,74.80555
AGLIDHAR,34.08565,74.80555
AGORE,34.08565,74.80555
AGPS,34.08565,74.80555
AGRATHI,12.936314494785,77.54970605371
AHMADABAD,23.0437221,72.5526846
AIIMS,34.08565,74.80555
AIR FORCE,34.08565,74.80555
AIR FORCE BABA PHAID JAGANOO,34.08565,74.80555
AIRFIELD,34.08565,74.80555
AIRFORCE,34.08565,74.80555
AIRFORCE STATION,34.08565,74.80555
AIRFORCE UDHAMPUR,34.08565,74.80555
AIRWAN,34.08565,74.80555
AIRWAN  JAKHBAR,34.08565,74.80555
AIRWAN AND PHALOTE,34.08565,74.80555
AIRWAN AND VV,34.08565,74.80555
AITTI,34.08565,74.80555
AJIT NAGAR,34.08565,74.80555
AJOTE,34.08565,74.80555
AKALPUR PATNIYAL,34.08565,74.80555
AKALPUR PATNYAL,34.08565,74.80555
AKALPUR SARORA,34.08565,74.80555
AKHNNOOR,34.08565,74.80555
AKHNOOR,34.08565,74.80555
AKHNOOR BRIDGE,34.08565,74.80555
AKHNOOR BUS STAND,34.08565,74.80555
AKHNOOR KATHAD JEDE REASI,34.08565,74.80555
AKHNOOR ROAD,34.08565,74.80555
AKHNOOR SUNDERBANI,34.08565,74.80555
AKHNOOR TO,34.08565,74.80555
ALANBASS,34.08565,74.80555
ALAPIR,34.08565,74.80555
ALAPIR TO MALTI BAGYAL DARA,34.1795,74.90772
ALLAH PIR,34.08565,74.80555
ALLALBANI MASRONDA,34.08565,74.80555
ALLAN BAS,34.08565,74.80555
ALLANBASS,34.08565,74.80555
ALLAPIR,34.08565,74.80555
ALLAPIR TO DEGWAR TERWAN,34.08565,74.80555
ALLYA,34.08565,74.80555
ALPHA GATE,34.08565,74.80555
ALPHA TCP,34.08565,74.80555
ALTERNATE ROUTE,34.08565,74.80555
AMALA,34.08565,74.80555
AMARCHASMA,34.08565,74.80555
AMB GHAROTA,34.08565,74.80555
AMB GHORATA,34.08565,74.80555
AMBA LAIR,34.08565,74.80555
AMBARAN CHANDERGAIN,34.08565,74.80555
AMBARAN DEGAH,34.08565,74.80555
AMBHALLA,34.08565,74.80555
AMBICA,15.450129064475,74.980062476816
AMBPHALA,34.08565,74.80555
AMBPHALLA,34.08565,74.80555
AMIRA NAGAR,34.08565,74.80555
AMIRANAGAR,34.08565,74.80555
AMKOOT,34.08565,74.80555
AMLA,34.08565,74.80555
AMPHALA,34.08565,74.80555
AMPHALLA,34.08565,74.80555
AMPHALLA B C ROAD G L DOGRA SATWARI,34.08565,74.80555
AMPHALLA B C ROAD MEERA SAHIB KULLIAN,34.08565,74.80555
AMPHALLA CPO SHALAMAR,34.1439,74.8787
AMROH,34.08565,74.80555
AMROH UPTO DABBAR MORH,34.08565,74.80555
AMUWALA,34.08565,74.80555
AMWAL,34.08565,74.80555
ANAND NAGAR BOHRI,34.08565,74.80555
ANANTNAGH,34.08565,74.80555
AND,34.08565,74.80555
AND BACK,34.08565,74.80555
AND VICE VERCA,34.08565,74.80555
AND VICEVERSA,34.08565,74.80555
AND VISE VERSA,34.08565,74.80555
AND VV,34.08565,74.80555
ANDD,34.08565,74.80555
ANDRAR GROTA GURHA SLATHIA,34.08565,74.80555
ANDROOTH,34.08565,74.80555
ANGRALA,34.08565,74.80555
ANJI,34.08565,74.80555
ANJI PANASSA,34.08565,74.80555
ANSA NAGROTA,34.08565,74.80555
ARAI,34.08565,74.80555
ARDHKAWARI,34.08565,74.80555
AREZAL,34.08565,74.80555
ARGI,34.08565,74.80555
ARGI DALHORI,34.08565,74.80555
ARI,34.08565,74.80555
ARIN,34.08565,74.80555
ARIZAL,34.08565,74.80555
ARMY GATE,34.08565,74.80555
ARMY GHALI,34.08565,74.80555
ARNALI,34.08565,74.80555
ARNAS,34.08565,74.80555
ARNAS   DHARMARI,34.08565,74.80555
ARNIA,34.08565,74.80555
ARNIA PANDORIAN,32.80694,74.77361
ARNS,34.08565,74.80555
ARSIA,34.08565,74.80555
ASRARABAD,34.08565,74.80555
ASSAR,34.08565,74.80555
ASSARWAN DEGREE COLLEGE,34.08565,74.80555
ASSO,34.08565,74.80555
ATHOLI,34.08565,74.80555
ATOLI,34.08565,74.80555
ATTOULI,34.08565,74.80555
AWANTIPORA,33.91978,75.01515
AWANTIPORA TO IUST TO AIIMS,34.08565,74.80555
AZAMABAD,34.08565,74.80555
B,34.08565,74.80555
B C ROAD,34.089096090868,74.729896046115
