S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12367.0,SRINAGAR RTO,JK01AA0343,10-Jul-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Jul-85,09-Jul-20,08-Jul-21,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Dalgate,Ordinary Service,2015-2016,1985-1986,DIESEL,,
12369.0,SRINAGAR RTO,JK01AA1330,28-Jul-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Aug-15,03-Aug-19,02-Aug-20,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Budgam,Jehangir Chowk,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12370.0,SRINAGAR RTO,JK01AA1332,28-Jul-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Aug-15,03-Aug-20,02-Aug-22,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Budgam,Jehangir Chowk,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12371.0,SRINAGAR RTO,JK01AA1351,28-Jul-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Aug-15,03-Aug-21,02-Aug-22,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Budgam,Jehangir Chowk,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12372.0,SRINAGAR RTO,JK01AA2733,03-Aug-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Oct-98,03-Oct-20,02-Oct-21,WESTERN AREA OF SRINAGAR CITY,,Parimpora ,Budgam,Jehangir Chowk,Ordinary Service,2015-2016,1998-1999,DIESEL,,
12373.0,SRINAGAR RTO,JK01AA3048,06-Aug-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,06-May-90,06-May-23,05-May-28,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Hazratbal,Qamarwari,Ordinary Service,2015-2016,1990-1991,DIESEL,,
12374.0,SRINAGAR RTO,JK01AA3431,17-Aug-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,19-Sep-15,22-Aug-17,21-Aug-18,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Chadora,Batamallo,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12375.0,SRINAGAR RTO,JK01AA3461,17-Aug-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,19-Sep-15,22-Aug-16,21-Aug-17,WESTERN AREA OF SRINAGAR CITY,,Lawaypora,Jehangir Chowk,Qamarwari,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12376.0,SRINAGAR RTO,JK01AA3470,17-Aug-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,19-Sep-15,22-Aug-20,21-Aug-22,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Chadora,Batamallo,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12377.0,SRINAGAR RTO,JK01AA6019,15-Sep-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Dec-15,10-Nov-19,09-Nov-20,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,LD,Dalgate,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12378.0,SRINAGAR RTO,JK01AA7014,30-Sep-15,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,01-Mar-16,02-Jan-25,01-Jan-30,GANDERBAL DISTRICT ONLY,,SOURA,GADOORA,GANDERBAL,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12379.0,SRINAGAR RTO,JK01AA7020,30-Sep-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-Jan-16,02-Jan-20,01-Jan-25,,,SOURA,GANDERBAL,BUCHPORA,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12380.0,SRINAGAR RTO,JK01AA8267,15-Oct-15,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-Jan-16,02-Jan-20,01-Jan-25,,,SOURA,GANDERBAL,BUCHPORA,Ordinary Service,2015-2016,2015-2016,DIESEL,,
12381.0,SRINAGAR RTO,JK01AA9969,14-Nov-15,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,02-Dec-97,03-Dec-20,02-Dec-21,EASTERN AREA OF SGR ROTATION BASIS,,Lalbazar ,Lalchowk,LD,Express Service,2015-2016,1997-1998,DIESEL,,
12383.0,SRINAGAR RTO,JK01AB4797,03-Mar-16,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,06-Jul-98,06-Jul-20,05-Jul-25,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Soura,Eid Gah,Ordinary Service,2015-2016,1998-1999,DIESEL,,
12385.0,SRINAGAR RTO,JK01AB6034,18-Mar-16,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,05-May-97,05-May-21,04-May-23,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Buchpora,Ordinary Service,2015-2016,1997-1998,DIESEL,,
12386.0,SRINAGAR RTO,JK01AB6451,01-Apr-16,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-May-90,07-May-17,06-May-18,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Dalgate,Ordinary Service,2016-2017,1990-1991,DIESEL,,
12387.0,SRINAGAR RTO,JK01AB6453,01-Apr-16,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Mar-91,31-Mar-19,30-Mar-20,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,Ordinary Service,2016-2017,1990-1991,DIESEL,,
12388.0,SRINAGAR RTO,JK01AB8023,03-May-16,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,21-Aug-98,29-May-23,28-May-28,,,TRC,HAZRATBAL,"KHAYAM,KHANYAR,RAINAWARI,SAIDA KADAL,DALGATE",Ordinary Service,2016-2017,1998-1999,DIESEL,,
12394.0,SRINAGAR RTO,JK01AD2446,14-Feb-17,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,27-Feb-17,27-Feb-20,26-Feb-21,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Dalgate,Ordinary Service,2016-2017,2016-2017,DIESEL,,
